regione,rapportoGiornalieroSuTamponiMolecolari,ingressiGiornalieriInIntensiva,ingressiGiornalieriFuoriIntensiva,decedutiGiornalieri,rapportoItalianoSuTamponiMolecolari,ingressiInIntensivaMediaRegionale,ingressiInOspedaleNonIntensivaMediaRegionale,decedutiMediaRegionale
Abruzzo,0.2977456401531263,1,-18,1,0.6559739827783732,-0.7142857142857143,-13.952380952380953,3.5714285714285716
Basilicata,0.0,0,-1,0,0.6559739827783732,-0.7142857142857143,-13.952380952380953,3.5714285714285716
Calabria,0.0,0,-1,0,0.6559739827783732,-0.7142857142857143,-13.952380952380953,3.5714285714285716
Campania,0.14245014245014245,-2,-9,1,0.6559739827783732,-0.7142857142857143,-13.952380952380953,3.5714285714285716
Emilia-Romagna,0.7544414699440253,-8,-5,7,0.6559739827783732,-0.7142857142857143,-13.952380952380953,3.5714285714285716
Friuli Venezia Giulia,0.08326394671107411,0,-4,0,0.6559739827783732,-0.7142857142857143,-13.952380952380953,3.5714285714285716
Lazio,0.62320230105465,-1,-39,7,0.6559739827783732,-0.7142857142857143,-13.952380952380953,3.5714285714285716
Liguria,0.8157715839564922,-1,9,6,0.6559739827783732,-0.7142857142857143,-13.952380952380953,3.5714285714285716
Lombardia,1.6898688339905046,-2,-176,33,0.6559739827783732,-0.7142857142857143,-13.952380952380953,3.5714285714285716
Marche,0.2608695652173913,0,-4,0,0.6559739827783732,-0.7142857142857143,-13.952380952380953,3.5714285714285716
Molise,0.0,0,-1,0,0.6559739827783732,-0.7142857142857143,-13.952380952380953,3.5714285714285716
P.A. Bolzano,0.1187648456057007,0,0,0,0.6559739827783732,-0.7142857142857143,-13.952380952380953,3.5714285714285716
P.A. Trento,0.050175614651279475,0,0,0,0.6559739827783732,-0.7142857142857143,-13.952380952380953,3.5714285714285716
Piemonte,1.6338880484114977,-2,-15,9,0.6559739827783732,-0.7142857142857143,-13.952380952380953,3.5714285714285716
Puglia,0.21197668256491786,-1,-7,4,0.6559739827783732,-0.7142857142857143,-13.952380952380953,3.5714285714285716
Sardegna,0.0,0,-1,0,0.6559739827783732,-0.7142857142857143,-13.952380952380953,3.5714285714285716
Sicilia,0.08453085376162299,0,-2,1,0.6559739827783732,-0.7142857142857143,-13.952380952380953,3.5714285714285716
Toscana,0.15100037750094375,1,-9,4,0.6559739827783732,-0.7142857142857143,-13.952380952380953,3.5714285714285716
Umbria,0.0,1,-1,0,0.6559739827783732,-0.7142857142857143,-13.952380952380953,3.5714285714285716
Valle d'Aosta,0.4329004329004329,0,-1,0,0.6559739827783732,-0.7142857142857143,-13.952380952380953,3.5714285714285716
Veneto,0.06238951856088177,-1,-8,2,0.6559739827783732,-0.7142857142857143,-13.952380952380953,3.5714285714285716
