regione,rapportoGiornalieroSuTamponiTotali,rapportoGiornalieroSuTamponiMolecolari,ingressiGiornalieriInIntensiva,ingressiGiornalieriFuoriIntensiva,decedutiGiornalieri,rapportoItalianoSuTamponiTotali,rapportoItalianoSuTamponiMolecolari,ingressiInIntensivaMediaRegionale,ingressiInOspedaleNonIntensivaMediaRegionale,decedutiMediaRegionale
Abruzzo,3.025936599423631,3.893905191873589,1,-12,17,4.865061152747601,8.383803522522323,-2.4285714285714284,-40.19047619047619,20.428571428571427
Basilicata,9.622744669218152,9.98298355076574,2,4,0,4.865061152747601,8.383803522522323,-2.4285714285714284,-40.19047619047619,20.428571428571427
Calabria,12.701672044587855,13.949742268041238,-3,0,5,4.865061152747601,8.383803522522323,-2.4285714285714284,-40.19047619047619,20.428571428571427
Campania,7.962940777125514,10.228263657348037,-5,-50,31,4.865061152747601,8.383803522522323,-2.4285714285714284,-40.19047619047619,20.428571428571427
Emilia-Romagna,5.139056831922612,9.355942287669196,1,-99,42,4.865061152747601,8.383803522522323,-2.4285714285714284,-40.19047619047619,20.428571428571427
Friuli Venezia Giulia,3.1427884229936662,3.825494563081357,-6,-29,21,4.865061152747601,8.383803522522323,-2.4285714285714284,-40.19047619047619,20.428571428571427
Lazio,3.9120972450767026,7.92779538252603,-5,-74,39,4.865061152747601,8.383803522522323,-2.4285714285714284,-40.19047619047619,20.428571428571427
Liguria,4.531425364758698,7.488986784140969,-1,-21,7,4.865061152747601,8.383803522522323,-2.4285714285714284,-40.19047619047619,20.428571428571427
Lombardia,5.1610300830095746,6.600791828858502,-11,-256,87,4.865061152747601,8.383803522522323,-2.4285714285714284,-40.19047619047619,20.428571428571427
Marche,6.717494333402019,8.376156217882837,-4,-28,13,4.865061152747601,8.383803522522323,-2.4285714285714284,-40.19047619047619,20.428571428571427
Molise,8.450704225352112,8.450704225352112,-1,3,1,4.865061152747601,8.383803522522323,-2.4285714285714284,-40.19047619047619,20.428571428571427
P.A. Bolzano,0.44386705640359425,4.96969696969697,1,-11,0,4.865061152747601,8.383803522522323,-2.4285714285714284,-40.19047619047619,20.428571428571427
P.A. Trento,3.204476093591048,2.149532710280374,-1,-8,4,4.865061152747601,8.383803522522323,-2.4285714285714284,-40.19047619047619,20.428571428571427
Piemonte,4.520795660036167,10.175567607316848,-19,-119,38,4.865061152747601,8.383803522522323,-2.4285714285714284,-40.19047619047619,20.428571428571427
Puglia,11.471005298902902,14.340829961419027,6,3,50,4.865061152747601,8.383803522522323,-2.4285714285714284,-40.19047619047619,20.428571428571427
Sardegna,7.987147119577691,7.987147119577691,3,9,5,4.865061152747601,8.383803522522323,-2.4285714285714284,-40.19047619047619,20.428571428571427
Sicilia,4.114114114114114,12.80373831775701,5,-8,21,4.865061152747601,8.383803522522323,-2.4285714285714284,-40.19047619047619,20.428571428571427
Toscana,5.006262879308255,8.663008951775916,-8,-76,20,4.865061152747601,8.383803522522323,-2.4285714285714284,-40.19047619047619,20.428571428571427
Umbria,2.115476379831398,5.37808329963607,-1,0,5,4.865061152747601,8.383803522522323,-2.4285714285714284,-40.19047619047619,20.428571428571427
Valle d'Aosta,7.425742574257426,12.560386473429952,2,1,0,4.865061152747601,8.383803522522323,-2.4285714285714284,-40.19047619047619,20.428571428571427
Veneto,2.53781512605042,4.883774189854575,-7,-73,23,4.865061152747601,8.383803522522323,-2.4285714285714284,-40.19047619047619,20.428571428571427
