regione,rapportoGiornalieroSuTamponiMolecolari,ingressiGiornalieriInIntensiva,ingressiGiornalieriFuoriIntensiva,decedutiGiornalieri,rapportoItalianoSuTamponiMolecolari,ingressiInIntensivaMediaRegionale,ingressiInOspedaleNonIntensivaMediaRegionale,decedutiMediaRegionale
Abruzzo,2.433187076186677,0,7,1,2.9350272116443494,0.8571428571428571,7.476190476190476,1.4761904761904763
Basilicata,1.9736842105263157,-2,5,2,2.9350272116443494,0.8571428571428571,7.476190476190476,1.4761904761904763
Calabria,0.7996001999000499,0,-1,0,2.9350272116443494,0.8571428571428571,7.476190476190476,1.4761904761904763
Campania,7.249466950959488,5,32,1,2.9350272116443494,0.8571428571428571,7.476190476190476,1.4761904761904763
Emilia-Romagna,1.2969558497412808,1,11,1,2.9350272116443494,0.8571428571428571,7.476190476190476,1.4761904761904763
Friuli Venezia Giulia,1.3915732508697334,1,2,0,2.9350272116443494,0.8571428571428571,7.476190476190476,1.4761904761904763
Lazio,2.9979845482028886,4,34,6,2.9350272116443494,0.8571428571428571,7.476190476190476,1.4761904761904763
Liguria,4.723564143853999,1,18,2,2.9350272116443494,0.8571428571428571,7.476190476190476,1.4761904761904763
Lombardia,2.4108674486531596,0,19,5,2.9350272116443494,0.8571428571428571,7.476190476190476,1.4761904761904763
Marche,3.3373063170441,-1,2,0,2.9350272116443494,0.8571428571428571,7.476190476190476,1.4761904761904763
Molise,0.2358490566037736,0,1,0,2.9350272116443494,0.8571428571428571,7.476190476190476,1.4761904761904763
P.A. Bolzano,3.3495736906211935,1,0,0,2.9350272116443494,0.8571428571428571,7.476190476190476,1.4761904761904763
P.A. Trento,1.5992003998000999,0,-4,0,2.9350272116443494,0.8571428571428571,7.476190476190476,1.4761904761904763
Piemonte,3.8149674332048384,0,4,2,2.9350272116443494,0.8571428571428571,7.476190476190476,1.4761904761904763
Puglia,4.064703442554957,2,7,0,2.9350272116443494,0.8571428571428571,7.476190476190476,1.4761904761904763
Sardegna,4.912451361867705,0,3,3,2.9350272116443494,0.8571428571428571,7.476190476190476,1.4761904761904763
Sicilia,3.2375740994072046,2,7,4,2.9350272116443494,0.8571428571428571,7.476190476190476,1.4761904761904763
Toscana,2.995805871779509,0,6,2,2.9350272116443494,0.8571428571428571,7.476190476190476,1.4761904761904763
Umbria,2.8533801580333624,3,-1,0,2.9350272116443494,0.8571428571428571,7.476190476190476,1.4761904761904763
Valle d'Aosta,5.681818181818182,0,-1,0,2.9350272116443494,0.8571428571428571,7.476190476190476,1.4761904761904763
Veneto,2.4729622790820365,1,6,2,2.9350272116443494,0.8571428571428571,7.476190476190476,1.4761904761904763
