regione,rapportoGiornalieroSuTamponiMolecolari,ingressiGiornalieriInIntensiva,ingressiGiornalieriFuoriIntensiva,decedutiGiornalieri,rapportoItalianoSuTamponiMolecolari,ingressiInIntensivaMediaRegionale,ingressiInOspedaleNonIntensivaMediaRegionale,decedutiMediaRegionale
Abruzzo,6.863780359028511,-5,-7,7,12.856187290969899,-3.5238095238095237,12.80952380952381,32.42857142857143
Basilicata,2.097902097902098,0,3,0,12.856187290969899,-3.5238095238095237,12.80952380952381,32.42857142857143
Calabria,1.13314447592068,-2,-5,4,12.856187290969899,-3.5238095238095237,12.80952380952381,32.42857142857143
Campania,6.5737919024814975,-1,35,5,12.856187290969899,-3.5238095238095237,12.80952380952381,32.42857142857143
Emilia-Romagna,17.919245505452402,-6,-56,75,12.856187290969899,-3.5238095238095237,12.80952380952381,32.42857142857143
Friuli Venezia Giulia,9.377738825591587,-11,-18,9,12.856187290969899,-3.5238095238095237,12.80952380952381,32.42857142857143
Lazio,18.514150943396228,5,42,13,12.856187290969899,-3.5238095238095237,12.80952380952381,32.42857142857143
Liguria,20.64180398959237,-4,-26,23,12.856187290969899,-3.5238095238095237,12.80952380952381,32.42857142857143
Lombardia,23.41048930559625,-55,200,345,12.856187290969899,-3.5238095238095237,12.80952380952381,32.42857142857143
Marche,13.97984886649874,-5,15,17,12.856187290969899,-3.5238095238095237,12.80952380952381,32.42857142857143
Molise,23.80952380952381,-2,0,0,12.856187290969899,-3.5238095238095237,12.80952380952381,32.42857142857143
P.A. Bolzano,3.086997193638915,1,0,7,12.856187290969899,-3.5238095238095237,12.80952380952381,32.42857142857143
P.A. Trento,12.758620689655173,1,10,6,12.856187290969899,-3.5238095238095237,12.80952380952381,32.42857142857143
Piemonte,28.03448275862069,-2,141,85,12.856187290969899,-3.5238095238095237,12.80952380952381,32.42857142857143
Puglia,5.5080721747388415,30,-21,9,12.856187290969899,-3.5238095238095237,12.80952380952381,32.42857142857143
Sardegna,15.755627009646302,0,1,0,12.856187290969899,-3.5238095238095237,12.80952380952381,32.42857142857143
Sicilia,6.033057851239669,1,18,10,12.856187290969899,-3.5238095238095237,12.80952380952381,32.42857142857143
Toscana,5.020431990659661,-2,-20,17,12.856187290969899,-3.5238095238095237,12.80952380952381,32.42857142857143
Umbria,2.594142259414226,-4,2,2,12.856187290969899,-3.5238095238095237,12.80952380952381,32.42857142857143
Valle d'Aosta,17.261904761904763,-2,-22,12,12.856187290969899,-3.5238095238095237,12.80952380952381,32.42857142857143
Veneto,5.294896308280629,-11,-23,35,12.856187290969899,-3.5238095238095237,12.80952380952381,32.42857142857143
