regione,rapportoGiornalieroSuTamponiTotali,rapportoGiornalieroSuTamponiMolecolari,ingressiGiornalieriInIntensiva,ingressiGiornalieriFuoriIntensiva,decedutiGiornalieri,rapportoItalianoSuTamponiTotali,rapportoItalianoSuTamponiMolecolari,ingressiInIntensivaMediaRegionale,ingressiInOspedaleNonIntensivaMediaRegionale,decedutiMediaRegionale
Abruzzo,3.3058984910836764,7.870672762900066,2,4,8,3.8758418014825184,7.225917558023794,0.0,-0.7142857142857143,20.095238095238095
Basilicata,5.692803437164339,9.330985915492958,2,0,1,3.8758418014825184,7.225917558023794,0.0,-0.7142857142857143,20.095238095238095
Calabria,7.137433561123766,8.303886925795053,-1,9,5,3.8758418014825184,7.225917558023794,0.0,-0.7142857142857143,20.095238095238095
Campania,9.305383098385802,11.037286790955969,2,-2,24,3.8758418014825184,7.225917558023794,0.0,-0.7142857142857143,20.095238095238095
Emilia-Romagna,3.2894515336183967,5.9501673484566755,-1,-31,45,3.8758418014825184,7.225917558023794,0.0,-0.7142857142857143,20.095238095238095
Friuli Venezia Giulia,4.119167046663627,4.258273547789863,3,-26,10,3.8758418014825184,7.225917558023794,0.0,-0.7142857142857143,20.095238095238095
Lazio,2.860616704380425,7.560951534892903,-4,9,33,3.8758418014825184,7.225917558023794,0.0,-0.7142857142857143,20.095238095238095
Liguria,4.118589743589744,6.362961128992325,0,7,10,3.8758418014825184,7.225917558023794,0.0,-0.7142857142857143,20.095238095238095
Lombardia,5.51239865667085,7.020336894001644,1,62,55,3.8758418014825184,7.225917558023794,0.0,-0.7142857142857143,20.095238095238095
Marche,5.2858261550509,8.221680876979294,1,6,8,3.8758418014825184,7.225917558023794,0.0,-0.7142857142857143,20.095238095238095
Molise,4.216867469879518,4.216867469879518,-1,-2,2,3.8758418014825184,7.225917558023794,0.0,-0.7142857142857143,20.095238095238095
P.A. Bolzano,6.2203433698559225,10.110174983797796,0,0,6,3.8758418014825184,7.225917558023794,0.0,-0.7142857142857143,20.095238095238095
P.A. Trento,6.931530008453086,1.9709543568464731,1,3,3,3.8758418014825184,7.225917558023794,0.0,-0.7142857142857143,20.095238095238095
Piemonte,3.228161668839635,6.008528233621915,0,4,35,3.8758418014825184,7.225917558023794,0.0,-0.7142857142857143,20.095238095238095
Puglia,7.352623623407472,8.373650911797544,1,-35,41,3.8758418014825184,7.225917558023794,0.0,-0.7142857142857143,20.095238095238095
Sardegna,0.4713687150837989,4.6847888953152115,2,-9,8,3.8758418014825184,7.225917558023794,0.0,-0.7142857142857143,20.095238095238095
Sicilia,3.389830508474576,8.23555457161833,-5,-31,24,3.8758418014825184,7.225917558023794,0.0,-0.7142857142857143,20.095238095238095
Toscana,2.8605708512250567,5.214940098661029,1,10,27,3.8758418014825184,7.225917558023794,0.0,-0.7142857142857143,20.095238095238095
Umbria,3.9411455596426697,7.43015652863087,2,11,11,3.8758418014825184,7.225917558023794,0.0,-0.7142857142857143,20.095238095238095
Valle d'Aosta,4.635761589403973,6.730769230769231,0,-6,1,3.8758418014825184,7.225917558023794,0.0,-0.7142857142857143,20.095238095238095
Veneto,2.0382054487831827,7.5198455267110065,-6,2,65,3.8758418014825184,7.225917558023794,0.0,-0.7142857142857143,20.095238095238095
