regione,rapportoGiornalieroSuTamponiTotali,rapportoGiornalieroSuTamponiMolecolari,ingressiGiornalieriInIntensiva,ingressiGiornalieriFuoriIntensiva,decedutiGiornalieri,rapportoItalianoSuTamponiTotali,rapportoItalianoSuTamponiMolecolari,ingressiInIntensivaMediaRegionale,ingressiInOspedaleNonIntensivaMediaRegionale,decedutiMediaRegionale
Abruzzo,1.456082667919211,3.3537684817886766,0,0,0,1.5204648907972524,3.6047968782221096,-0.6666666666666666,-1.7619047619047619,3.4761904761904763
Basilicata,9.497816593886462,9.786276715410574,0,0,0,1.5204648907972524,3.6047968782221096,-0.6666666666666666,-1.7619047619047619,3.4761904761904763
Calabria,6.693530333557197,11.16504854368932,-2,9,2,1.5204648907972524,3.6047968782221096,-0.6666666666666666,-1.7619047619047619,3.4761904761904763
Campania,1.9432799013563502,3.758466087951922,1,-7,1,1.5204648907972524,3.6047968782221096,-0.6666666666666666,-1.7619047619047619,3.4761904761904763
Emilia-Romagna,1.091497102816332,2.6372177352892696,1,22,3,1.5204648907972524,3.6047968782221096,-0.6666666666666666,-1.7619047619047619,3.4761904761904763
Friuli Venezia Giulia,1.5223274695534506,2.3576768257619323,0,2,2,1.5204648907972524,3.6047968782221096,-0.6666666666666666,-1.7619047619047619,3.4761904761904763
Lazio,1.4431866806706344,2.9677625789936806,-3,-9,6,1.5204648907972524,3.6047968782221096,-0.6666666666666666,-1.7619047619047619,3.4761904761904763
Liguria,1.4159506232603172,3.105095541401274,0,-6,0,1.5204648907972524,3.6047968782221096,-0.6666666666666666,-1.7619047619047619,3.4761904761904763
Lombardia,1.2389031367133556,2.454509098180364,-1,-1,6,1.5204648907972524,3.6047968782221096,-0.6666666666666666,-1.7619047619047619,3.4761904761904763
Marche,4.549040231396266,6.914468425259792,0,1,3,1.5204648907972524,3.6047968782221096,-0.6666666666666666,-1.7619047619047619,3.4761904761904763
Molise,1.761252446183953,1.761252446183953,0,-2,0,1.5204648907972524,3.6047968782221096,-0.6666666666666666,-1.7619047619047619,3.4761904761904763
P.A. Bolzano,1.5667841754798277,9.650180940892641,1,3,0,1.5204648907972524,3.6047968782221096,-0.6666666666666666,-1.7619047619047619,3.4761904761904763
P.A. Trento,2.024432809773124,6.091370558375634,0,1,0,1.5204648907972524,3.6047968782221096,-0.6666666666666666,-1.7619047619047619,3.4761904761904763
Piemonte,1.5140270149918362,4.135209334248456,1,-5,2,1.5204648907972524,3.6047968782221096,-0.6666666666666666,-1.7619047619047619,3.4761904761904763
Puglia,1.3632429313329486,3.3907331794780755,-1,3,4,1.5204648907972524,3.6047968782221096,-0.6666666666666666,-1.7619047619047619,3.4761904761904763
Sardegna,0.37308078633950353,2.8245518739815316,1,-7,3,1.5204648907972524,3.6047968782221096,-0.6666666666666666,-1.7619047619047619,3.4761904761904763
Sicilia,2.469200524246396,6.175429395568376,-1,-40,28,1.5204648907972524,3.6047968782221096,-0.6666666666666666,-1.7619047619047619,3.4761904761904763
Toscana,1.9526751125536592,3.6833536833536833,-5,-9,8,1.5204648907972524,3.6047968782221096,-0.6666666666666666,-1.7619047619047619,3.4761904761904763
Umbria,1.6328727794724565,4.5890065557236515,0,-5,2,1.5204648907972524,3.6047968782221096,-0.6666666666666666,-1.7619047619047619,3.4761904761904763
Valle d'Aosta,0.5145797598627787,2.9702970297029703,0,1,0,1.5204648907972524,3.6047968782221096,-0.6666666666666666,-1.7619047619047619,3.4761904761904763
Veneto,1.197536496350365,2.960048426150121,-6,12,3,1.5204648907972524,3.6047968782221096,-0.6666666666666666,-1.7619047619047619,3.4761904761904763
