regione,rapportoGiornalieroSuTamponiMolecolari,ingressiGiornalieriInIntensiva,ingressiGiornalieriFuoriIntensiva,decedutiGiornalieri,rapportoItalianoSuTamponiMolecolari,ingressiInIntensivaMediaRegionale,ingressiInOspedaleNonIntensivaMediaRegionale,decedutiMediaRegionale
Abruzzo,1.7038007863695936,0,0,0,1.687571562402415,0.5714285714285714,3.0,0.38095238095238093
Basilicata,2.027027027027027,0,1,0,1.687571562402415,0.5714285714285714,3.0,0.38095238095238093
Calabria,1.790450928381963,0,5,0,1.687571562402415,0.5714285714285714,3.0,0.38095238095238093
Campania,1.8426386585590566,1,14,0,1.687571562402415,0.5714285714285714,3.0,0.38095238095238093
Emilia-Romagna,1.2118842845973417,2,2,1,1.687571562402415,0.5714285714285714,3.0,0.38095238095238093
Friuli Venezia Giulia,1.558846453624318,1,0,0,1.687571562402415,0.5714285714285714,3.0,0.38095238095238093
Lazio,1.1310958650101983,-1,11,1,1.687571562402415,0.5714285714285714,3.0,0.38095238095238093
Liguria,6.9987389659520804,2,8,2,1.687571562402415,0.5714285714285714,3.0,0.38095238095238093
Lombardia,1.6340678385739045,2,3,3,1.687571562402415,0.5714285714285714,3.0,0.38095238095238093
Marche,1.4914243102162565,0,1,0,1.687571562402415,0.5714285714285714,3.0,0.38095238095238093
Molise,0.7692307692307693,0,0,0,1.687571562402415,0.5714285714285714,3.0,0.38095238095238093
P.A. Bolzano,1.263537906137184,0,0,0,1.687571562402415,0.5714285714285714,3.0,0.38095238095238093
P.A. Trento,2.2948539638386647,0,-1,0,1.687571562402415,0.5714285714285714,3.0,0.38095238095238093
Piemonte,1.9337016574585635,1,5,0,1.687571562402415,0.5714285714285714,3.0,0.38095238095238093
Puglia,1.786777843954735,0,7,1,1.687571562402415,0.5714285714285714,3.0,0.38095238095238093
Sardegna,1.6170212765957446,0,1,0,1.687571562402415,0.5714285714285714,3.0,0.38095238095238093
Sicilia,1.5941404566996984,1,-2,0,1.687571562402415,0.5714285714285714,3.0,0.38095238095238093
Toscana,1.5635012174804563,0,8,0,1.687571562402415,0.5714285714285714,3.0,0.38095238095238093
Umbria,2.0,0,0,0,1.687571562402415,0.5714285714285714,3.0,0.38095238095238093
Valle d'Aosta,0.0,0,0,0,1.687571562402415,0.5714285714285714,3.0,0.38095238095238093
Veneto,1.8911780243000529,3,0,0,1.687571562402415,0.5714285714285714,3.0,0.38095238095238093
