regione,rapportoGiornalieroSuTamponiTotali,rapportoGiornalieroSuTamponiMolecolari,ingressiGiornalieriInIntensiva,ingressiGiornalieriFuoriIntensiva,decedutiGiornalieri,rapportoItalianoSuTamponiTotali,rapportoItalianoSuTamponiMolecolari,ingressiInIntensivaMediaRegionale,ingressiInOspedaleNonIntensivaMediaRegionale,decedutiMediaRegionale
Abruzzo,55.00910746812386,22.54448647891271,1,1,0,13.028004371504064,23.78582003224627,1.7619047619047619,5.476190476190476,5.285714285714286
Basilicata,31.208302446256486,32.21117061973986,0,1,1,13.028004371504064,23.78582003224627,1.7619047619047619,5.476190476190476,5.285714285714286
Calabria,9.22038980509745,20.698576972833116,0,-4,12,13.028004371504064,23.78582003224627,1.7619047619047619,5.476190476190476,5.285714285714286
Campania,10.456177863440269,22.705795798250634,7,11,4,13.028004371504064,23.78582003224627,1.7619047619047619,5.476190476190476,5.285714285714286
Emilia-Romagna,23.761512360639845,33.01638837353123,8,13,15,13.028004371504064,23.78582003224627,1.7619047619047619,5.476190476190476,5.285714285714286
Friuli Venezia Giulia,8.645501075587864,19.402191256249335,0,-12,12,13.028004371504064,23.78582003224627,1.7619047619047619,5.476190476190476,5.285714285714286
Lazio,10.882596660730972,27.64264264264264,-1,-8,6,13.028004371504064,23.78582003224627,1.7619047619047619,5.476190476190476,5.285714285714286
Liguria,9.938700449530037,27.043255865673302,1,12,1,13.028004371504064,23.78582003224627,1.7619047619047619,5.476190476190476,5.285714285714286
Lombardia,18.616755579532057,24.125178801939782,1,86,14,13.028004371504064,23.78582003224627,1.7619047619047619,5.476190476190476,5.285714285714286
Marche,8.858127701482738,21.036902286902286,5,3,5,13.028004371504064,23.78582003224627,1.7619047619047619,5.476190476190476,5.285714285714286
Molise,21.50375939849624,21.50375939849624,0,-1,0,13.028004371504064,23.78582003224627,1.7619047619047619,5.476190476190476,5.285714285714286
P.A. Bolzano,5.84319526627219,9.703337453646476,0,-9,2,13.028004371504064,23.78582003224627,1.7619047619047619,5.476190476190476,5.285714285714286
P.A. Trento,8.521303258145364,10.178748758689176,1,-1,1,13.028004371504064,23.78582003224627,1.7619047619047619,5.476190476190476,5.285714285714286
Piemonte,12.748772182007974,14.434729252952907,1,19,9,13.028004371504064,23.78582003224627,1.7619047619047619,5.476190476190476,5.285714285714286
Puglia,4.435507717783429,15.529645249317786,0,2,0,13.028004371504064,23.78582003224627,1.7619047619047619,5.476190476190476,5.285714285714286
Sardegna,4.189589504866695,15.091463414634147,-1,-4,1,13.028004371504064,23.78582003224627,1.7619047619047619,5.476190476190476,5.285714285714286
Sicilia,10.221670508955489,27.424112665334476,4,19,12,13.028004371504064,23.78582003224627,1.7619047619047619,5.476190476190476,5.285714285714286
Toscana,22.47201115057776,30.54673567917881,5,17,4,13.028004371504064,23.78582003224627,1.7619047619047619,5.476190476190476,5.285714285714286
Umbria,14.630427324362444,24.235633103889867,-1,11,0,13.028004371504064,23.78582003224627,1.7619047619047619,5.476190476190476,5.285714285714286
Valle d'Aosta,11.412395709177593,34.74576271186441,0,-2,0,13.028004371504064,23.78582003224627,1.7619047619047619,5.476190476190476,5.285714285714286
Veneto,8.764441059594514,16.735346358792185,6,-39,12,13.028004371504064,23.78582003224627,1.7619047619047619,5.476190476190476,5.285714285714286
