regione,rapportoGiornalieroSuTamponiTotali,rapportoGiornalieroSuTamponiMolecolari,ingressiGiornalieriInIntensiva,ingressiGiornalieriFuoriIntensiva,decedutiGiornalieri,rapportoItalianoSuTamponiTotali,rapportoItalianoSuTamponiMolecolari,ingressiInIntensivaMediaRegionale,ingressiInOspedaleNonIntensivaMediaRegionale,decedutiMediaRegionale
Abruzzo,1.9642360789400537,5.069678039404133,-2,-1,9,5.261485908202432,8.07125753294799,-2.0476190476190474,-20.19047619047619,24.80952380952381
Basilicata,7.632600258732213,7.994579945799458,2,3,4,5.261485908202432,8.07125753294799,-2.0476190476190474,-20.19047619047619,24.80952380952381
Calabria,8.640321500334895,10.159362549800797,-1,-6,9,5.261485908202432,8.07125753294799,-2.0476190476190474,-20.19047619047619,24.80952380952381
Campania,7.852388030763265,8.23396599167431,0,-8,40,5.261485908202432,8.07125753294799,-2.0476190476190474,-20.19047619047619,24.80952380952381
Emilia-Romagna,6.0139414096314185,8.16250233659418,-12,-34,73,5.261485908202432,8.07125753294799,-2.0476190476190474,-20.19047619047619,24.80952380952381
Friuli Venezia Giulia,6.5798698047070605,6.447486247921197,1,-13,26,5.261485908202432,8.07125753294799,-2.0476190476190474,-20.19047619047619,24.80952380952381
Lazio,4.934110875492275,9.40780511258915,-8,-82,36,5.261485908202432,8.07125753294799,-2.0476190476190474,-20.19047619047619,24.80952380952381
Liguria,3.4848702136813423,6.194239102727504,3,-8,14,5.261485908202432,8.07125753294799,-2.0476190476190474,-20.19047619047619,24.80952380952381
Lombardia,5.923686792352769,7.83704655812625,-17,-6,55,5.261485908202432,8.07125753294799,-2.0476190476190474,-20.19047619047619,24.80952380952381
Marche,5.023610971566362,6.545359340227779,-1,-18,16,5.261485908202432,8.07125753294799,-2.0476190476190474,-20.19047619047619,24.80952380952381
Molise,5.573770491803279,5.573770491803279,-1,-1,3,5.261485908202432,8.07125753294799,-2.0476190476190474,-20.19047619047619,24.80952380952381
P.A. Bolzano,7.4122577265584075,9.83014094687387,-2,8,7,5.261485908202432,8.07125753294799,-2.0476190476190474,-20.19047619047619,24.80952380952381
P.A. Trento,4.105131414267835,2.045728038507822,1,-19,7,5.261485908202432,8.07125753294799,-2.0476190476190474,-20.19047619047619,24.80952380952381
Piemonte,4.361531407611188,10.842745438748914,-6,-47,29,5.261485908202432,8.07125753294799,-2.0476190476190474,-20.19047619047619,24.80952380952381
Puglia,11.063866712946894,12.27693807898586,3,-4,26,5.261485908202432,8.07125753294799,-2.0476190476190474,-20.19047619047619,24.80952380952381
Sardegna,3.972625605074278,5.036278275714896,-2,-22,7,5.261485908202432,8.07125753294799,-2.0476190476190474,-20.19047619047619,24.80952380952381
Sicilia,5.692072747466334,12.64131551901336,6,-23,28,5.261485908202432,8.07125753294799,-2.0476190476190474,-20.19047619047619,24.80952380952381
Toscana,3.4060130010834238,4.95304003954523,3,-37,14,5.261485908202432,8.07125753294799,-2.0476190476190474,-20.19047619047619,24.80952380952381
Umbria,6.0223204885239,8.58343337334934,0,3,9,5.261485908202432,8.07125753294799,-2.0476190476190474,-20.19047619047619,24.80952380952381
Valle d'Aosta,6.093189964157706,-0.8298755186721992,0,-4,1,5.261485908202432,8.07125753294799,-2.0476190476190474,-20.19047619047619,24.80952380952381
Veneto,2.7898308856252783,6.699619263910226,-10,-105,108,5.261485908202432,8.07125753294799,-2.0476190476190474,-20.19047619047619,24.80952380952381
