regione,rapportoGiornalieroSuTamponiMolecolari,ingressiGiornalieriInIntensiva,ingressiGiornalieriFuoriIntensiva,decedutiGiornalieri,rapportoItalianoSuTamponiMolecolari,ingressiInIntensivaMediaRegionale,ingressiInOspedaleNonIntensivaMediaRegionale,decedutiMediaRegionale
Abruzzo,,0,0,0,15.419296663660957,1.2380952380952381,4.904761904761905,0.8571428571428571
Basilicata,,0,0,0,15.419296663660957,1.2380952380952381,4.904761904761905,0.8571428571428571
Calabria,0.0,0,0,0,15.419296663660957,1.2380952380952381,4.904761904761905,0.8571428571428571
Campania,,0,0,0,15.419296663660957,1.2380952380952381,4.904761904761905,0.8571428571428571
Emilia-Romagna,28.089887640449437,3,21,3,15.419296663660957,1.2380952380952381,4.904761904761905,0.8571428571428571
Friuli Venezia Giulia,11.538461538461538,0,0,0,15.419296663660957,1.2380952380952381,4.904761904761905,0.8571428571428571
Lazio,2.0408163265306123,0,0,0,15.419296663660957,1.2380952380952381,4.904761904761905,0.8571428571428571
Liguria,-inf,0,0,0,15.419296663660957,1.2380952380952381,4.904761904761905,0.8571428571428571
Lombardia,25.81261950286807,21,72,14,15.419296663660957,1.2380952380952381,4.904761904761905,0.8571428571428571
Marche,27.77777777777778,1,5,1,15.419296663660957,1.2380952380952381,4.904761904761905,0.8571428571428571
Molise,0.0,0,0,0,15.419296663660957,1.2380952380952381,4.904761904761905,0.8571428571428571
P.A. Bolzano,,0,0,0,15.419296663660957,1.2380952380952381,4.904761904761905,0.8571428571428571
P.A. Trento,,0,0,0,15.419296663660957,1.2380952380952381,4.904761904761905,0.8571428571428571
Piemonte,2.7777777777777777,0,1,0,15.419296663660957,1.2380952380952381,4.904761904761905,0.8571428571428571
Puglia,6.25,0,1,0,15.419296663660957,1.2380952380952381,4.904761904761905,0.8571428571428571
Sardegna,,0,0,0,15.419296663660957,1.2380952380952381,4.904761904761905,0.8571428571428571
Sicilia,-12.5,0,1,0,15.419296663660957,1.2380952380952381,4.904761904761905,0.8571428571428571
Toscana,0.0,0,0,0,15.419296663660957,1.2380952380952381,4.904761904761905,0.8571428571428571
Umbria,,0,0,0,15.419296663660957,1.2380952380952381,4.904761904761905,0.8571428571428571
Valle d'Aosta,0.0,0,0,0,15.419296663660957,1.2380952380952381,4.904761904761905,0.8571428571428571
Veneto,1.3774104683195592,1,2,0,15.419296663660957,1.2380952380952381,4.904761904761905,0.8571428571428571
