regione,rapportoGiornalieroSuTamponiMolecolari,ingressiGiornalieriInIntensiva,ingressiGiornalieriFuoriIntensiva,decedutiGiornalieri,rapportoItalianoSuTamponiMolecolari,ingressiInIntensivaMediaRegionale,ingressiInOspedaleNonIntensivaMediaRegionale,decedutiMediaRegionale
Abruzzo,8.069164265129682,-1,2,5,8.546061805586794,2.6666666666666665,28.714285714285715,6.0476190476190474
Basilicata,7.077435470441299,3,-3,0,8.546061805586794,2.6666666666666665,28.714285714285715,6.0476190476190474
Calabria,5.532953620829943,0,8,1,8.546061805586794,2.6666666666666665,28.714285714285715,6.0476190476190474
Campania,12.681942643032137,-6,50,11,8.546061805586794,2.6666666666666665,28.714285714285715,6.0476190476190474
Emilia-Romagna,3.909117390037868,8,65,8,8.546061805586794,2.6666666666666665,28.714285714285715,6.0476190476190474
Friuli Venezia Giulia,4.73308839420791,2,11,1,8.546061805586794,2.6666666666666665,28.714285714285715,6.0476190476190474
Lazio,5.944891489880517,6,30,16,8.546061805586794,2.6666666666666665,28.714285714285715,6.0476190476190474
Liguria,11.030303030303031,-1,42,9,8.546061805586794,2.6666666666666665,28.714285714285715,6.0476190476190474
Lombardia,11.32743848857645,11,253,20,8.546061805586794,2.6666666666666665,28.714285714285715,6.0476190476190474
Marche,8.89763779527559,0,16,1,8.546061805586794,2.6666666666666665,28.714285714285715,6.0476190476190474
Molise,1.7014694508894044,1,-3,0,8.546061805586794,2.6666666666666665,28.714285714285715,6.0476190476190474
P.A. Bolzano,10.031847133757962,0,0,1,8.546061805586794,2.6666666666666665,28.714285714285715,6.0476190476190474
P.A. Trento,5.36231884057971,1,3,2,8.546061805586794,2.6666666666666665,28.714285714285715,6.0476190476190474
Piemonte,13.217250753067372,12,74,7,8.546061805586794,2.6666666666666665,28.714285714285715,6.0476190476190474
Puglia,6.113207547169812,3,6,2,8.546061805586794,2.6666666666666665,28.714285714285715,6.0476190476190474
Sardegna,7.512370670265407,2,10,3,8.546061805586794,2.6666666666666665,28.714285714285715,6.0476190476190474
Sicilia,7.582298974635726,6,23,11,8.546061805586794,2.6666666666666665,28.714285714285715,6.0476190476190474
Toscana,7.446899991400809,4,28,13,8.546061805586794,2.6666666666666665,28.714285714285715,6.0476190476190474
Umbria,9.48252506095909,0,2,2,8.546061805586794,2.6666666666666665,28.714285714285715,6.0476190476190474
Valle d'Aosta,7.138263665594855,0,6,0,8.546061805586794,2.6666666666666665,28.714285714285715,6.0476190476190474
Veneto,7.245121516278596,5,-20,14,8.546061805586794,2.6666666666666665,28.714285714285715,6.0476190476190474
