regione,rapportoGiornalieroSuTamponiTotali,rapportoGiornalieroSuTamponiMolecolari,ingressiGiornalieriInIntensiva,ingressiGiornalieriFuoriIntensiva,decedutiGiornalieri,rapportoItalianoSuTamponiTotali,rapportoItalianoSuTamponiMolecolari,ingressiInIntensivaMediaRegionale,ingressiInOspedaleNonIntensivaMediaRegionale,decedutiMediaRegionale
Abruzzo,0.6583897667419112,0.9681881051175657,1,-10,2,1.1193861634312816,2.1535872637718976,-2.0952380952380953,-13.80952380952381,4.428571428571429
Basilicata,2.705749718151071,2.7745664739884393,0,3,0,1.1193861634312816,2.1535872637718976,-2.0952380952380953,-13.80952380952381,4.428571428571429
Calabria,2.7096301720981324,3.410138248847926,-2,-7,5,1.1193861634312816,2.1535872637718976,-2.0952380952380953,-13.80952380952381,4.428571428571429
Campania,2.3728170083523157,3.5912660409883164,-4,-67,10,1.1193861634312816,2.1535872637718976,-2.0952380952380953,-13.80952380952381,4.428571428571429
Emilia-Romagna,0.5079756931257121,0.9664478482859227,-5,-7,3,1.1193861634312816,2.1535872637718976,-2.0952380952380953,-13.80952380952381,4.428571428571429
Friuli Venezia Giulia,0.31162866983762505,0.40475588160890463,0,-2,1,1.1193861634312816,2.1535872637718976,-2.0952380952380953,-13.80952380952381,4.428571428571429
Lazio,0.7489054458867809,1.6273247496423462,-1,-47,10,1.1193861634312816,2.1535872637718976,-2.0952380952380953,-13.80952380952381,4.428571428571429
Liguria,0.36524413687043444,0.6491288008199522,0,-15,1,1.1193861634312816,2.1535872637718976,-2.0952380952380953,-13.80952380952381,4.428571428571429
Lombardia,1.2907380445738605,1.7355632691700853,-14,22,9,1.1193861634312816,2.1535872637718976,-2.0952380952380953,-13.80952380952381,4.428571428571429
Marche,1.45610278372591,1.6865079365079365,-4,-7,2,1.1193861634312816,2.1535872637718976,-2.0952380952380953,-13.80952380952381,4.428571428571429
Molise,1.6,1.6,0,0,0,1.1193861634312816,2.1535872637718976,-2.0952380952380953,-13.80952380952381,4.428571428571429
P.A. Bolzano,0.2672903441363181,1.834862385321101,0,0,0,1.1193861634312816,2.1535872637718976,-2.0952380952380953,-13.80952380952381,4.428571428571429
P.A. Trento,1.94884287454324,3.1135531135531136,-4,-3,3,1.1193861634312816,2.1535872637718976,-2.0952380952380953,-13.80952380952381,4.428571428571429
Piemonte,1.2911595724964477,3.4609720176730487,0,-37,12,1.1193861634312816,2.1535872637718976,-2.0952380952380953,-13.80952380952381,4.428571428571429
Puglia,3.008216273522396,4.119241192411924,-4,-26,6,1.1193861634312816,2.1535872637718976,-2.0952380952380953,-13.80952380952381,4.428571428571429
Sardegna,0.9389671361502347,1.5544041450777202,1,-8,1,1.1193861634312816,2.1535872637718976,-2.0952380952380953,-13.80952380952381,4.428571428571429
Sicilia,2.0558743772466417,5.662671530310925,-3,-24,12,1.1193861634312816,2.1535872637718976,-2.0952380952380953,-13.80952380952381,4.428571428571429
Toscana,0.9814814814814815,2.06887164829182,-3,-33,6,1.1193861634312816,2.1535872637718976,-2.0952380952380953,-13.80952380952381,4.428571428571429
Umbria,0.2530891767157957,0.6682389937106918,0,-2,1,1.1193861634312816,2.1535872637718976,-2.0952380952380953,-13.80952380952381,4.428571428571429
Valle d'Aosta,1.6194331983805668,2.9239766081871346,0,0,0,1.1193861634312816,2.1535872637718976,-2.0952380952380953,-13.80952380952381,4.428571428571429
Veneto,0.40902951958325295,1.1969947790653253,-2,-20,9,1.1193861634312816,2.1535872637718976,-2.0952380952380953,-13.80952380952381,4.428571428571429
