regione,rapportoGiornalieroSuTamponiMolecolari,ingressiGiornalieriInIntensiva,ingressiGiornalieriFuoriIntensiva,decedutiGiornalieri,rapportoItalianoSuTamponiMolecolari,ingressiInIntensivaMediaRegionale,ingressiInOspedaleNonIntensivaMediaRegionale,decedutiMediaRegionale
Abruzzo,1.5567765567765568,0,0,0,1.7791275106552142,0.3333333333333333,3.9523809523809526,0.19047619047619047
Basilicata,100.0,0,0,0,1.7791275106552142,0.3333333333333333,3.9523809523809526,0.19047619047619047
Calabria,2.4655547498187094,0,0,0,1.7791275106552142,0.3333333333333333,3.9523809523809526,0.19047619047619047
Campania,4.012483281319661,2,38,0,1.7791275106552142,0.3333333333333333,3.9523809523809526,0.19047619047619047
Emilia-Romagna,1.1845251032384265,1,1,0,1.7791275106552142,0.3333333333333333,3.9523809523809526,0.19047619047619047
Friuli Venezia Giulia,1.1149825783972125,1,0,0,1.7791275106552142,0.3333333333333333,3.9523809523809526,0.19047619047619047
Lazio,1.2202753441802252,-1,17,0,1.7791275106552142,0.3333333333333333,3.9523809523809526,0.19047619047619047
Liguria,3.0182232346241458,0,3,0,1.7791275106552142,0.3333333333333333,3.9523809523809526,0.19047619047619047
Lombardia,1.826945502604369,2,9,3,1.7791275106552142,0.3333333333333333,3.9523809523809526,0.19047619047619047
Marche,1.0555946516537649,0,2,0,1.7791275106552142,0.3333333333333333,3.9523809523809526,0.19047619047619047
Molise,0.32679738562091504,0,0,0,1.7791275106552142,0.3333333333333333,3.9523809523809526,0.19047619047619047
P.A. Bolzano,0.8221993833504625,0,0,0,1.7791275106552142,0.3333333333333333,3.9523809523809526,0.19047619047619047
P.A. Trento,0.7597340930674265,0,0,0,1.7791275106552142,0.3333333333333333,3.9523809523809526,0.19047619047619047
Piemonte,1.9704433497536946,0,4,1,1.7791275106552142,0.3333333333333333,3.9523809523809526,0.19047619047619047
Puglia,2.5480059084194977,0,5,0,1.7791275106552142,0.3333333333333333,3.9523809523809526,0.19047619047619047
Sardegna,1.9400352733686066,1,4,0,1.7791275106552142,0.3333333333333333,3.9523809523809526,0.19047619047619047
Sicilia,1.437632135306554,0,-2,0,1.7791275106552142,0.3333333333333333,3.9523809523809526,0.19047619047619047
Toscana,1.5233949945593035,0,4,0,1.7791275106552142,0.3333333333333333,3.9523809523809526,0.19047619047619047
Umbria,1.865222623345367,0,-1,0,1.7791275106552142,0.3333333333333333,3.9523809523809526,0.19047619047619047
Valle d'Aosta,1.9047619047619047,0,1,0,1.7791275106552142,0.3333333333333333,3.9523809523809526,0.19047619047619047
Veneto,1.5170494084899095,1,-2,0,1.7791275106552142,0.3333333333333333,3.9523809523809526,0.19047619047619047
