regione,rapportoGiornalieroSuTamponiTotali,rapportoGiornalieroSuTamponiMolecolari,ingressiGiornalieriInIntensiva,ingressiGiornalieriFuoriIntensiva,decedutiGiornalieri,rapportoItalianoSuTamponiTotali,rapportoItalianoSuTamponiMolecolari,ingressiInIntensivaMediaRegionale,ingressiInOspedaleNonIntensivaMediaRegionale,decedutiMediaRegionale
Abruzzo,0.5537098560354374,-0.8620689655172413,1,-1,0,0.6054897739504844,1.1625836322470682,-0.19047619047619047,-2.5714285714285716,1.0
Basilicata,1.7543859649122806,1.7699115044247788,0,0,0,0.6054897739504844,1.1625836322470682,-0.19047619047619047,-2.5714285714285716,1.0
Calabria,2.1231422505307855,2.844950213371266,0,-2,0,0.6054897739504844,1.1625836322470682,-0.19047619047619047,-2.5714285714285716,1.0
Campania,0.9553158705701078,1.6070502851218247,1,-5,4,0.6054897739504844,1.1625836322470682,-0.19047619047619047,-2.5714285714285716,1.0
Emilia-Romagna,0.9805108340394625,1.7509727626459144,-1,0,2,0.6054897739504844,1.1625836322470682,-0.19047619047619047,-2.5714285714285716,1.0
Friuli Venezia Giulia,0.17513134851138354,0.24783147459727387,0,3,0,0.6054897739504844,1.1625836322470682,-0.19047619047619047,-2.5714285714285716,1.0
Lazio,0.6945803169634123,1.1451791651274474,-1,-5,3,0.6054897739504844,1.1625836322470682,-0.19047619047619047,-2.5714285714285716,1.0
Liguria,0.3568242640499554,0.4697592483852026,0,0,1,0.6054897739504844,1.1625836322470682,-0.19047619047619047,-2.5714285714285716,1.0
Lombardia,0.792741165234002,0.8881922675026124,0,-17,4,0.6054897739504844,1.1625836322470682,-0.19047619047619047,-2.5714285714285716,1.0
Marche,0.0,0.0,0,-4,0,0.6054897739504844,1.1625836322470682,-0.19047619047619047,-2.5714285714285716,1.0
Molise,0.0,0.0,0,0,0,0.6054897739504844,1.1625836322470682,-0.19047619047619047,-2.5714285714285716,1.0
P.A. Bolzano,0.35502958579881655,1.1111111111111112,0,0,0,0.6054897739504844,1.1625836322470682,-0.19047619047619047,-2.5714285714285716,1.0
P.A. Trento,0.47961630695443647,0.0,0,0,0,0.6054897739504844,1.1625836322470682,-0.19047619047619047,-2.5714285714285716,1.0
Piemonte,0.20716801325875284,0.7572172266919073,-2,-7,1,0.6054897739504844,1.1625836322470682,-0.19047619047619047,-2.5714285714285716,1.0
Puglia,0.4361799816345271,1.0348583877995643,-1,-8,4,0.6054897739504844,1.1625836322470682,-0.19047619047619047,-2.5714285714285716,1.0
Sardegna,0.4825090470446321,0.5780346820809249,0,-3,0,0.6054897739504844,1.1625836322470682,-0.19047619047619047,-2.5714285714285716,1.0
Sicilia,0.5280815109343936,3.5284350352843505,-1,-2,2,0.6054897739504844,1.1625836322470682,-0.19047619047619047,-2.5714285714285716,1.0
Toscana,0.9208103130755064,1.123301985370951,0,-1,0,0.6054897739504844,1.1625836322470682,-0.19047619047619047,-2.5714285714285716,1.0
Umbria,0.30372057706909644,0.5398110661268556,0,0,0,0.6054897739504844,1.1625836322470682,-0.19047619047619047,-2.5714285714285716,1.0
Valle d'Aosta,0.0,0.0,0,-1,0,0.6054897739504844,1.1625836322470682,-0.19047619047619047,-2.5714285714285716,1.0
Veneto,0.15273004963726614,0.4065040650406504,0,-1,0,0.6054897739504844,1.1625836322470682,-0.19047619047619047,-2.5714285714285716,1.0
