regione,rapportoGiornalieroSuTamponiMolecolari,ingressiGiornalieriInIntensiva,ingressiGiornalieriFuoriIntensiva,decedutiGiornalieri,rapportoItalianoSuTamponiMolecolari,ingressiInIntensivaMediaRegionale,ingressiInOspedaleNonIntensivaMediaRegionale,decedutiMediaRegionale
Abruzzo,6.300434512725015,-5,5,2,5.403481206883853,2.238095238095238,15.523809523809524,3.9523809523809526
Basilicata,3.7525354969574036,0,1,0,5.403481206883853,2.238095238095238,15.523809523809524,3.9523809523809526
Calabria,1.9928461931527848,2,7,0,5.403481206883853,2.238095238095238,15.523809523809524,3.9523809523809526
Campania,8.178519593613933,5,27,9,5.403481206883853,2.238095238095238,15.523809523809524,3.9523809523809526
Emilia-Romagna,3.5864143773256276,14,9,1,5.403481206883853,2.238095238095238,15.523809523809524,3.9523809523809526
Friuli Venezia Giulia,2.705390889198329,0,4,2,5.403481206883853,2.238095238095238,15.523809523809524,3.9523809523809526
Lazio,3.7288135593220337,5,32,7,5.403481206883853,2.238095238095238,15.523809523809524,3.9523809523809526
Liguria,8.389978636628472,-3,30,3,5.403481206883853,2.238095238095238,15.523809523809524,3.9523809523809526
Lombardia,6.358630448826407,8,81,26,5.403481206883853,2.238095238095238,15.523809523809524,3.9523809523809526
Marche,5.2356020942408374,1,-3,0,5.403481206883853,2.238095238095238,15.523809523809524,3.9523809523809526
Molise,1.693958215697346,0,-2,0,5.403481206883853,2.238095238095238,15.523809523809524,3.9523809523809526
P.A. Bolzano,5.622489959839357,0,6,0,5.403481206883853,2.238095238095238,15.523809523809524,3.9523809523809526
P.A. Trento,3.7462235649546827,0,0,2,5.403481206883853,2.238095238095238,15.523809523809524,3.9523809523809526
Piemonte,7.304483099985858,7,33,3,5.403481206883853,2.238095238095238,15.523809523809524,3.9523809523809526
Puglia,4.8073325851103625,3,8,7,5.403481206883853,2.238095238095238,15.523809523809524,3.9523809523809526
Sardegna,6.919642857142857,2,8,1,5.403481206883853,2.238095238095238,15.523809523809524,3.9523809523809526
Sicilia,5.360021493820526,3,21,7,5.403481206883853,2.238095238095238,15.523809523809524,3.9523809523809526
Toscana,5.212632334469765,0,47,2,5.403481206883853,2.238095238095238,15.523809523809524,3.9523809523809526
Umbria,7.127371273712737,0,3,0,5.403481206883853,2.238095238095238,15.523809523809524,3.9523809523809526
Valle d'Aosta,15.952380952380953,0,1,0,5.403481206883853,2.238095238095238,15.523809523809524,3.9523809523809526
Veneto,3.153910849453322,5,8,11,5.403481206883853,2.238095238095238,15.523809523809524,3.9523809523809526
