regione,rapportoGiornalieroSuTamponiMolecolari,ingressiGiornalieriInIntensiva,ingressiGiornalieriFuoriIntensiva,decedutiGiornalieri,rapportoItalianoSuTamponiMolecolari,ingressiInIntensivaMediaRegionale,ingressiInOspedaleNonIntensivaMediaRegionale,decedutiMediaRegionale
Abruzzo,1.8248175182481752,1,-10,2,1.2648347041732317,-1.5714285714285714,-18.666666666666668,7.285714285714286
Basilicata,0.15503875968992248,0,-4,0,1.2648347041732317,-1.5714285714285714,-18.666666666666668,7.285714285714286
Calabria,0.5035971223021583,0,0,0,1.2648347041732317,-1.5714285714285714,-18.666666666666668,7.285714285714286
Campania,0.2967988128047488,-1,10,0,1.2648347041732317,-1.5714285714285714,-18.666666666666668,7.285714285714286
Emilia-Romagna,1.5072221059242201,-2,-23,17,1.2648347041732317,-1.5714285714285714,-18.666666666666668,7.285714285714286
Friuli Venezia Giulia,0.6182380216383307,0,-1,1,1.2648347041732317,-1.5714285714285714,-18.666666666666668,7.285714285714286
Lazio,0.7374971191518783,-3,-17,12,1.2648347041732317,-1.5714285714285714,-18.666666666666668,7.285714285714286
Liguria,2.480544747081712,-5,-16,10,1.2648347041732317,-1.5714285714285714,-18.666666666666668,7.285714285714286
Lombardia,2.820784729586426,-8,-184,39,1.2648347041732317,-1.5714285714285714,-18.666666666666668,7.285714285714286
Marche,0.8041958041958042,-1,-24,5,1.2648347041732317,-1.5714285714285714,-18.666666666666668,7.285714285714286
Molise,0.7672634271099744,0,0,0,1.2648347041732317,-1.5714285714285714,-18.666666666666668,7.285714285714286
P.A. Bolzano,0.0,0,-2,0,1.2648347041732317,-1.5714285714285714,-18.666666666666668,7.285714285714286
P.A. Trento,0.47534165181224003,-1,-9,2,1.2648347041732317,-1.5714285714285714,-18.666666666666668,7.285714285714286
Piemonte,2.4604885057471266,-8,-31,37,1.2648347041732317,-1.5714285714285714,-18.666666666666668,7.285714285714286
Puglia,0.4158004158004158,-1,-13,2,1.2648347041732317,-1.5714285714285714,-18.666666666666668,7.285714285714286
Sardegna,0.28308563340410475,0,0,0,1.2648347041732317,-1.5714285714285714,-18.666666666666668,7.285714285714286
Sicilia,0.39331366764995085,1,-39,2,1.2648347041732317,-1.5714285714285714,-18.666666666666668,7.285714285714286
Toscana,0.8987417615338527,-1,-4,3,1.2648347041732317,-1.5714285714285714,-18.666666666666668,7.285714285714286
Umbria,0.0,0,0,0,1.2648347041732317,-1.5714285714285714,-18.666666666666668,7.285714285714286
Valle d'Aosta,0.23696682464454977,0,-4,0,1.2648347041732317,-1.5714285714285714,-18.666666666666668,7.285714285714286
Veneto,0.3143640174109302,-4,-21,21,1.2648347041732317,-1.5714285714285714,-18.666666666666668,7.285714285714286
