regione,rapportoGiornalieroSuTamponiMolecolari,ingressiGiornalieriInIntensiva,ingressiGiornalieriFuoriIntensiva,decedutiGiornalieri,rapportoItalianoSuTamponiMolecolari,ingressiInIntensivaMediaRegionale,ingressiInOspedaleNonIntensivaMediaRegionale,decedutiMediaRegionale
Abruzzo,3.6957301758162897,0,10,1,4.149191710885063,1.380952380952381,7.666666666666667,1.3333333333333333
Basilicata,2.375809935205184,0,0,0,4.149191710885063,1.380952380952381,7.666666666666667,1.3333333333333333
Calabria,1.9471488178025034,0,3,1,4.149191710885063,1.380952380952381,7.666666666666667,1.3333333333333333
Campania,8.053199287883547,8,28,5,4.149191710885063,1.380952380952381,7.666666666666667,1.3333333333333333
Emilia-Romagna,2.5681585558760585,1,-6,1,4.149191710885063,1.380952380952381,7.666666666666667,1.3333333333333333
Friuli Venezia Giulia,3.389830508474576,0,0,0,4.149191710885063,1.380952380952381,7.666666666666667,1.3333333333333333
Lazio,2.6802410139206314,2,32,6,4.149191710885063,1.380952380952381,7.666666666666667,1.3333333333333333
Liguria,5.669655770899624,-2,4,1,4.149191710885063,1.380952380952381,7.666666666666667,1.3333333333333333
Lombardia,3.8363969870819186,3,10,1,4.149191710885063,1.380952380952381,7.666666666666667,1.3333333333333333
Marche,2.1350762527233114,-2,3,0,4.149191710885063,1.380952380952381,7.666666666666667,1.3333333333333333
Molise,1.7488076311605723,0,2,0,4.149191710885063,1.380952380952381,7.666666666666667,1.3333333333333333
P.A. Bolzano,5.555555555555555,1,5,0,4.149191710885063,1.380952380952381,7.666666666666667,1.3333333333333333
P.A. Trento,1.949025487256372,0,2,0,4.149191710885063,1.380952380952381,7.666666666666667,1.3333333333333333
Piemonte,5.887534870063133,6,34,0,4.149191710885063,1.380952380952381,7.666666666666667,1.3333333333333333
Puglia,5.417754569190601,0,22,2,4.149191710885063,1.380952380952381,7.666666666666667,1.3333333333333333
Sardegna,5.244618395303327,4,4,0,4.149191710885063,1.380952380952381,7.666666666666667,1.3333333333333333
Sicilia,3.2582855544679066,2,0,4,4.149191710885063,1.380952380952381,7.666666666666667,1.3333333333333333
Toscana,4.4801038864669325,3,8,3,4.149191710885063,1.380952380952381,7.666666666666667,1.3333333333333333
Umbria,5.708884688090738,0,5,0,4.149191710885063,1.380952380952381,7.666666666666667,1.3333333333333333
Valle d'Aosta,11.25,1,0,0,4.149191710885063,1.380952380952381,7.666666666666667,1.3333333333333333
Veneto,4.153577661431065,2,-5,3,4.149191710885063,1.380952380952381,7.666666666666667,1.3333333333333333
