regione,rapportoGiornalieroSuTamponiMolecolari,ingressiGiornalieriInIntensiva,ingressiGiornalieriFuoriIntensiva,decedutiGiornalieri,rapportoItalianoSuTamponiMolecolari,ingressiInIntensivaMediaRegionale,ingressiInOspedaleNonIntensivaMediaRegionale,decedutiMediaRegionale
Abruzzo,14.93212669683258,0,-9,5,5.340644363797721,-4.142857142857143,-15.666666666666666,20.80952380952381
Basilicata,0.7017543859649122,0,1,0,5.340644363797721,-4.142857142857143,-15.666666666666666,20.80952380952381
Calabria,1.1607142857142858,0,-5,0,5.340644363797721,-4.142857142857143,-15.666666666666666,20.80952380952381
Campania,2.3223409196470044,-5,-9,10,5.340644363797721,-4.142857142857143,-15.666666666666666,20.80952380952381
Emilia-Romagna,5.703802535023349,0,-81,57,5.340644363797721,-4.142857142857143,-15.666666666666666,20.80952380952381
Friuli Venezia Giulia,1.055297593921486,-1,-5,5,5.340644363797721,-4.142857142857143,-15.666666666666666,20.80952380952381
Lazio,1.9846192011907715,3,4,7,5.340644363797721,-4.142857142857143,-15.666666666666666,20.80952380952381
Liguria,8.536585365853659,-2,-54,32,5.340644363797721,-4.142857142857143,-15.666666666666666,20.80952380952381
Lombardia,8.598726114649681,-34,-113,161,5.340644363797721,-4.142857142857143,-15.666666666666666,20.80952380952381
Marche,2.175925925925926,-2,-49,11,5.340644363797721,-4.142857142857143,-15.666666666666666,20.80952380952381
Molise,0.6644518272425249,0,-6,1,5.340644363797721,-4.142857142857143,-15.666666666666666,20.80952380952381
P.A. Bolzano,0.8163265306122449,-1,-2,5,5.340644363797721,-4.142857142857143,-15.666666666666666,20.80952380952381
P.A. Trento,50.0,-4,-9,5,5.340644363797721,-4.142857142857143,-15.666666666666666,20.80952380952381
Piemonte,12.896858035861161,-20,97,74,5.340644363797721,-4.142857142857143,-15.666666666666666,20.80952380952381
Puglia,4.580152671755725,-5,-5,11,5.340644363797721,-4.142857142857143,-15.666666666666666,20.80952380952381
Sardegna,1.1,-1,-15,3,5.340644363797721,-4.142857142857143,-15.666666666666666,20.80952380952381
Sicilia,1.3190436933223413,-2,-14,2,5.340644363797721,-4.142857142857143,-15.666666666666666,20.80952380952381
Toscana,2.3233532934131738,3,-13,19,5.340644363797721,-4.142857142857143,-15.666666666666666,20.80952380952381
Umbria,0.3937007874015748,-2,-10,1,5.340644363797721,-4.142857142857143,-15.666666666666666,20.80952380952381
Valle d'Aosta,1.7699115044247788,0,-7,1,5.340644363797721,-4.142857142857143,-15.666666666666666,20.80952380952381
Veneto,3.5254380409541906,-14,-25,27,5.340644363797721,-4.142857142857143,-15.666666666666666,20.80952380952381
