regione,rapportoGiornalieroSuTamponiTotali,rapportoGiornalieroSuTamponiMolecolari,ingressiGiornalieriInIntensiva,ingressiGiornalieriFuoriIntensiva,decedutiGiornalieri,rapportoItalianoSuTamponiTotali,rapportoItalianoSuTamponiMolecolari,ingressiInIntensivaMediaRegionale,ingressiInOspedaleNonIntensivaMediaRegionale,decedutiMediaRegionale
Abruzzo,0.3157894736842105,0.851063829787234,0,0,0,1.320833623754095,2.9381675328395467,0.47619047619047616,1.7619047619047619,1.619047619047619
Basilicata,3.114186851211073,3.2490974729241877,0,-1,0,1.320833623754095,2.9381675328395467,0.47619047619047616,1.7619047619047619,1.619047619047619
Calabria,3.9441747572815533,6.806282722513089,1,-2,1,1.320833623754095,2.9381675328395467,0.47619047619047616,1.7619047619047619,1.619047619047619
Campania,2.318475916606758,5.677816901408451,2,-1,1,1.320833623754095,2.9381675328395467,0.47619047619047616,1.7619047619047619,1.619047619047619
Emilia-Romagna,1.9670442842430484,4.011824324324325,2,7,6,1.320833623754095,2.9381675328395467,0.47619047619047616,1.7619047619047619,1.619047619047619
Friuli Venezia Giulia,1.2864493996569468,2.175543885971493,0,1,0,1.320833623754095,2.9381675328395467,0.47619047619047616,1.7619047619047619,1.619047619047619
Lazio,1.4955055285975658,1.9243986254295533,1,21,5,1.320833623754095,2.9381675328395467,0.47619047619047616,1.7619047619047619,1.619047619047619
Liguria,0.8057675996607294,1.58465387823186,-1,-3,1,1.320833623754095,2.9381675328395467,0.47619047619047616,1.7619047619047619,1.619047619047619
Lombardia,0.5698938818289008,0.979578283247551,1,-8,5,1.320833623754095,2.9381675328395467,0.47619047619047616,1.7619047619047619,1.619047619047619
Marche,2.367688022284123,3.3203125,0,0,0,1.320833623754095,2.9381675328395467,0.47619047619047616,1.7619047619047619,1.619047619047619
Molise,0.0,0.0,0,0,0,1.320833623754095,2.9381675328395467,0.47619047619047616,1.7619047619047619,1.619047619047619
P.A. Bolzano,0.16597510373443983,0.9900990099009901,0,0,1,1.320833623754095,2.9381675328395467,0.47619047619047616,1.7619047619047619,1.619047619047619
P.A. Trento,0.9487666034155597,2.2222222222222223,0,2,0,1.320833623754095,2.9381675328395467,0.47619047619047616,1.7619047619047619,1.619047619047619
Piemonte,0.6479224870712714,2.063397129186603,2,15,1,1.320833623754095,2.9381675328395467,0.47619047619047616,1.7619047619047619,1.619047619047619
Puglia,1.0044937879989426,3.0003947887879985,2,-1,0,1.320833623754095,2.9381675328395467,0.47619047619047616,1.7619047619047619,1.619047619047619
Sardegna,1.510177281680893,1.8025078369905956,1,0,0,1.320833623754095,2.9381675328395467,0.47619047619047616,1.7619047619047619,1.619047619047619
Sicilia,1.839464882943144,5.898876404494382,-1,10,5,1.320833623754095,2.9381675328395467,0.47619047619047616,1.7619047619047619,1.619047619047619
Toscana,2.091672046481601,3.0935960591133007,0,4,6,1.320833623754095,2.9381675328395467,0.47619047619047616,1.7619047619047619,1.619047619047619
Umbria,0.33407572383073497,1.0889292196007259,0,-1,0,1.320833623754095,2.9381675328395467,0.47619047619047616,1.7619047619047619,1.619047619047619
Valle d'Aosta,0.0,-10.0,0,0,0,1.320833623754095,2.9381675328395467,0.47619047619047616,1.7619047619047619,1.619047619047619
Veneto,1.3318534961154274,3.5906642728904847,0,-6,2,1.320833623754095,2.9381675328395467,0.47619047619047616,1.7619047619047619,1.619047619047619
