regione,rapportoGiornalieroSuTamponiTotali,rapportoGiornalieroSuTamponiMolecolari,ingressiGiornalieriInIntensiva,ingressiGiornalieriFuoriIntensiva,decedutiGiornalieri,rapportoItalianoSuTamponiTotali,rapportoItalianoSuTamponiMolecolari,ingressiInIntensivaMediaRegionale,ingressiInOspedaleNonIntensivaMediaRegionale,decedutiMediaRegionale
Abruzzo,1.880701754385965,8.370323398858591,0,4,2,4.004436942984643,10.326142050114735,0.9523809523809523,11.142857142857142,3.761904761904762
Basilicata,1.1235955056179776,1.4598540145985401,0,-1,0,4.004436942984643,10.326142050114735,0.9523809523809523,11.142857142857142,3.761904761904762
Calabria,8.38738537239991,15.141430948419302,3,-4,3,4.004436942984643,10.326142050114735,0.9523809523809523,11.142857142857142,3.761904761904762
Campania,4.254619222545096,8.618391825855175,0,-2,11,4.004436942984643,10.326142050114735,0.9523809523809523,11.142857142857142,3.761904761904762
Emilia-Romagna,7.699818663690891,12.545592705167174,7,55,8,4.004436942984643,10.326142050114735,0.9523809523809523,11.142857142857142,3.761904761904762
Friuli Venezia Giulia,5.540462665678769,12.156712118302286,-2,-3,5,4.004436942984643,10.326142050114735,0.9523809523809523,11.142857142857142,3.761904761904762
Lazio,5.05863755009007,9.988047213506649,1,17,10,4.004436942984643,10.326142050114735,0.9523809523809523,11.142857142857142,3.761904761904762
Liguria,5.298142717497556,11.025223759153784,1,36,1,4.004436942984643,10.326142050114735,0.9523809523809523,11.142857142857142,3.761904761904762
Lombardia,2.964765971030685,7.185185185185185,0,18,20,4.004436942984643,10.326142050114735,0.9523809523809523,11.142857142857142,3.761904761904762
Marche,7.949449653485528,11.62097735399285,1,0,1,4.004436942984643,10.326142050114735,0.9523809523809523,11.142857142857142,3.761904761904762
Molise,3.631284916201117,3.631284916201117,0,1,0,4.004436942984643,10.326142050114735,0.9523809523809523,11.142857142857142,3.761904761904762
P.A. Bolzano,3.236530751931163,11.603721948549534,1,1,0,4.004436942984643,10.326142050114735,0.9523809523809523,11.142857142857142,3.761904761904762
P.A. Trento,2.2593506740079743,14.018691588785046,0,16,1,4.004436942984643,10.326142050114735,0.9523809523809523,11.142857142857142,3.761904761904762
Piemonte,2.4898561416451495,9.104027285845468,1,10,1,4.004436942984643,10.326142050114735,0.9523809523809523,11.142857142857142,3.761904761904762
Puglia,1.3743023465162336,6.664845670581808,0,-5,1,4.004436942984643,10.326142050114735,0.9523809523809523,11.142857142857142,3.761904761904762
Sardegna,2.45357191270164,7.366707366707367,1,4,2,4.004436942984643,10.326142050114735,0.9523809523809523,11.142857142857142,3.761904761904762
Sicilia,4.848224161238786,11.755065554231228,2,19,2,4.004436942984643,10.326142050114735,0.9523809523809523,11.142857142857142,3.761904761904762
Toscana,3.6743797044884303,7.829313543599258,0,8,4,4.004436942984643,10.326142050114735,0.9523809523809523,11.142857142857142,3.761904761904762
Umbria,1.9161676646706587,14.010507880910684,0,2,0,4.004436942984643,10.326142050114735,0.9523809523809523,11.142857142857142,3.761904761904762
Valle d'Aosta,4.148936170212766,14.917127071823204,0,2,0,4.004436942984643,10.326142050114735,0.9523809523809523,11.142857142857142,3.761904761904762
Veneto,5.317740511915269,14.469936708860759,4,56,7,4.004436942984643,10.326142050114735,0.9523809523809523,11.142857142857142,3.761904761904762
