regione,rapportoGiornalieroSuTamponiMolecolari,ingressiGiornalieriInIntensiva,ingressiGiornalieriFuoriIntensiva,decedutiGiornalieri,rapportoItalianoSuTamponiMolecolari,ingressiInIntensivaMediaRegionale,ingressiInOspedaleNonIntensivaMediaRegionale,decedutiMediaRegionale
Abruzzo,1.2958963282937366,0,-9,4,2.647962483829237,-5.523809523809524,-27.61904761904762,12.80952380952381
Basilicata,2.2222222222222223,0,0,0,2.647962483829237,-5.523809523809524,-27.61904761904762,12.80952380952381
Calabria,0.3475238922675934,-3,0,0,2.647962483829237,-5.523809523809524,-27.61904761904762,12.80952380952381
Campania,0.5480167014613778,0,-6,0,2.647962483829237,-5.523809523809524,-27.61904761904762,12.80952380952381
Emilia-Romagna,3.8468651747734417,-9,-34,28,2.647962483829237,-5.523809523809524,-27.61904761904762,12.80952380952381
Friuli Venezia Giulia,0.5189750243269543,-5,22,5,2.647962483829237,-5.523809523809524,-27.61904761904762,12.80952380952381
Lazio,0.9020618556701031,-10,-45,41,2.647962483829237,-5.523809523809524,-27.61904761904762,12.80952380952381
Liguria,5.457529749692244,-1,-10,17,2.647962483829237,-5.523809523809524,-27.61904761904762,12.80952380952381
Lombardia,5.379169403693161,-42,-206,88,2.647962483829237,-5.523809523809524,-27.61904761904762,12.80952380952381
Marche,1.5972618368511124,-4,-52,5,2.647962483829237,-5.523809523809524,-27.61904761904762,12.80952380952381
Molise,11.764705882352942,0,0,0,2.647962483829237,-5.523809523809524,-27.61904761904762,12.80952380952381
P.A. Bolzano,0.6226650062266501,-2,-14,3,2.647962483829237,-5.523809523809524,-27.61904761904762,12.80952380952381
P.A. Trento,1.2269938650306749,-2,-12,5,2.647962483829237,-5.523809523809524,-27.61904761904762,12.80952380952381
Piemonte,6.546237984753066,-18,-118,31,2.647962483829237,-5.523809523809524,-27.61904761904762,12.80952380952381
Puglia,1.4737991266375545,-3,-11,6,2.647962483829237,-5.523809523809524,-27.61904761904762,12.80952380952381
Sardegna,1.2096774193548387,-4,-3,1,2.647962483829237,-5.523809523809524,-27.61904761904762,12.80952380952381
Sicilia,0.8774678784080225,-3,-9,2,2.647962483829237,-5.523809523809524,-27.61904761904762,12.80952380952381
Toscana,2.018667245495984,-2,-26,12,2.647962483829237,-5.523809523809524,-27.61904761904762,12.80952380952381
Umbria,0.07674597083653108,-3,-8,1,2.647962483829237,-5.523809523809524,-27.61904761904762,12.80952380952381
Valle d'Aosta,3.6231884057971016,-1,-4,0,2.647962483829237,-5.523809523809524,-27.61904761904762,12.80952380952381
Veneto,1.0429262394195888,-4,-35,20,2.647962483829237,-5.523809523809524,-27.61904761904762,12.80952380952381
