regione,rapportoGiornalieroSuTamponiMolecolari,ingressiGiornalieriInIntensiva,ingressiGiornalieriFuoriIntensiva,decedutiGiornalieri,rapportoItalianoSuTamponiMolecolari,ingressiInIntensivaMediaRegionale,ingressiInOspedaleNonIntensivaMediaRegionale,decedutiMediaRegionale
Abruzzo,0.5044136191677175,-1,-2,7,1.8262150220913107,-1.3333333333333333,-3.761904761904762,8.523809523809524
Basilicata,0.2857142857142857,0,1,0,1.8262150220913107,-1.3333333333333333,-3.761904761904762,8.523809523809524
Calabria,0.1733102253032929,-1,-2,2,1.8262150220913107,-1.3333333333333333,-3.761904761904762,8.523809523809524
Campania,0.331517878285579,3,1,1,1.8262150220913107,-1.3333333333333333,-3.761904761904762,8.523809523809524
Emilia-Romagna,2.682763246143528,-9,-25,22,1.8262150220913107,-1.3333333333333333,-3.761904761904762,8.523809523809524
Friuli Venezia Giulia,0.5669737774627923,0,-2,2,1.8262150220913107,-1.3333333333333333,-3.761904761904762,8.523809523809524
Lazio,0.8837044892188052,-1,1,5,1.8262150220913107,-1.3333333333333333,-3.761904761904762,8.523809523809524
Liguria,2.9490616621983916,-3,3,12,1.8262150220913107,-1.3333333333333333,-3.761904761904762,8.523809523809524
Lombardia,4.8481619605753865,-7,-31,68,1.8262150220913107,-1.3333333333333333,-3.761904761904762,8.523809523809524
Marche,0.683526999316473,-2,-7,4,1.8262150220913107,-1.3333333333333333,-3.761904761904762,8.523809523809524
Molise,5.752212389380531,0,2,0,1.8262150220913107,-1.3333333333333333,-3.761904761904762,8.523809523809524
P.A. Bolzano,0.6696428571428571,-1,2,0,1.8262150220913107,-1.3333333333333333,-3.761904761904762,8.523809523809524
P.A. Trento,0.14716703458425312,1,2,2,1.8262150220913107,-1.3333333333333333,-3.761904761904762,8.523809523809524
Piemonte,3.252270729563434,-2,-3,33,1.8262150220913107,-1.3333333333333333,-3.761904761904762,8.523809523809524
Puglia,1.046337817638266,-2,-3,3,1.8262150220913107,-1.3333333333333333,-3.761904761904762,8.523809523809524
Sardegna,0.5042016806722689,0,1,0,1.8262150220913107,-1.3333333333333333,-3.761904761904762,8.523809523809524
Sicilia,1.6415868673050615,0,-2,1,1.8262150220913107,-1.3333333333333333,-3.761904761904762,8.523809523809524
Toscana,1.0309278350515463,-1,-3,8,1.8262150220913107,-1.3333333333333333,-3.761904761904762,8.523809523809524
Umbria,0.18148820326678766,-2,-2,0,1.8262150220913107,-1.3333333333333333,-3.761904761904762,8.523809523809524
Valle d'Aosta,0.43478260869565216,-1,-2,0,1.8262150220913107,-1.3333333333333333,-3.761904761904762,8.523809523809524
Veneto,0.2976656744477518,1,-8,9,1.8262150220913107,-1.3333333333333333,-3.761904761904762,8.523809523809524
