regione,rapportoGiornalieroSuTamponiMolecolari,ingressiGiornalieriInIntensiva,ingressiGiornalieriFuoriIntensiva,decedutiGiornalieri,rapportoItalianoSuTamponiMolecolari,ingressiInIntensivaMediaRegionale,ingressiInOspedaleNonIntensivaMediaRegionale,decedutiMediaRegionale
Abruzzo,0.17316017316017315,0,-3,1,0.5726175327578499,0.23809523809523808,-11.714285714285714,3.142857142857143
Basilicata,0.0,0,0,0,0.5726175327578499,0.23809523809523808,-11.714285714285714,3.142857142857143
Calabria,0.31347962382445144,0,0,0,0.5726175327578499,0.23809523809523808,-11.714285714285714,3.142857142857143
Campania,0.06906077348066299,4,4,0,0.5726175327578499,0.23809523809523808,-11.714285714285714,3.142857142857143
Emilia-Romagna,0.3711866372810579,0,-14,4,0.5726175327578499,0.23809523809523808,-11.714285714285714,3.142857142857143
Friuli Venezia Giulia,0.14074595355383532,1,-1,0,0.5726175327578499,0.23809523809523808,-11.714285714285714,3.142857142857143
Lazio,0.2758197977321483,0,-23,4,0.5726175327578499,0.23809523809523808,-11.714285714285714,3.142857142857143
Liguria,0.46511627906976744,0,-3,4,0.5726175327578499,0.23809523809523808,-11.714285714285714,3.142857142857143
Lombardia,1.8823529411764706,1,-123,36,0.5726175327578499,0.23809523809523808,-11.714285714285714,3.142857142857143
Marche,0.25493945188017847,0,-2,0,0.5726175327578499,0.23809523809523808,-11.714285714285714,3.142857142857143
Molise,0.0,0,0,0,0.5726175327578499,0.23809523809523808,-11.714285714285714,3.142857142857143
P.A. Bolzano,0.27624309392265195,1,0,0,0.5726175327578499,0.23809523809523808,-11.714285714285714,3.142857142857143
P.A. Trento,0.5245901639344263,0,0,0,0.5726175327578499,0.23809523809523808,-11.714285714285714,3.142857142857143
Piemonte,0.9597523219814241,0,-51,6,0.5726175327578499,0.23809523809523808,-11.714285714285714,3.142857142857143
Puglia,0.12300123001230012,-1,-12,2,0.5726175327578499,0.23809523809523808,-11.714285714285714,3.142857142857143
Sardegna,0.07874015748031496,0,-1,0,0.5726175327578499,0.23809523809523808,-11.714285714285714,3.142857142857143
Sicilia,0.10863661053775123,0,-1,0,0.5726175327578499,0.23809523809523808,-11.714285714285714,3.142857142857143
Toscana,0.0630119722747322,-1,-10,1,0.5726175327578499,0.23809523809523808,-11.714285714285714,3.142857142857143
Umbria,0.0,0,-2,0,0.5726175327578499,0.23809523809523808,-11.714285714285714,3.142857142857143
Valle d'Aosta,0.0,0,0,1,0.5726175327578499,0.23809523809523808,-11.714285714285714,3.142857142857143
Veneto,0.0754503442421956,0,-4,7,0.5726175327578499,0.23809523809523808,-11.714285714285714,3.142857142857143
