regione,rapportoGiornalieroSuTamponiMolecolari,ingressiGiornalieriInIntensiva,ingressiGiornalieriFuoriIntensiva,decedutiGiornalieri,rapportoItalianoSuTamponiMolecolari,ingressiInIntensivaMediaRegionale,ingressiInOspedaleNonIntensivaMediaRegionale,decedutiMediaRegionale
Abruzzo,6.184816880911957,-2,-28,14,7.898229125875647,-3.0,-19.142857142857142,26.333333333333332
Basilicata,6.986591390261115,1,-2,3,7.898229125875647,-3.0,-19.142857142857142,26.333333333333332
Calabria,8.102710413694721,-4,5,2,7.898229125875647,-3.0,-19.142857142857142,26.333333333333332
Campania,5.790730489525671,-11,-16,19,7.898229125875647,-3.0,-19.142857142857142,26.333333333333332
Emilia-Romagna,6.302685200692235,-3,-88,71,7.898229125875647,-3.0,-19.142857142857142,26.333333333333332
Friuli Venezia Giulia,7.701564380264741,-1,-3,22,7.898229125875647,-3.0,-19.142857142857142,26.333333333333332
Lazio,7.337883959044369,-6,20,44,7.898229125875647,-3.0,-19.142857142857142,26.333333333333332
Liguria,5.7926829268292686,-1,-11,21,7.898229125875647,-3.0,-19.142857142857142,26.333333333333332
Lombardia,6.53890542428476,-4,-47,98,7.898229125875647,-3.0,-19.142857142857142,26.333333333333332
Marche,8.177339901477833,0,-10,4,7.898229125875647,-3.0,-19.142857142857142,26.333333333333332
Molise,3.5620052770448547,-1,-3,2,7.898229125875647,-3.0,-19.142857142857142,26.333333333333332
P.A. Bolzano,5.799026117751217,-4,-6,1,7.898229125875647,-3.0,-19.142857142857142,26.333333333333332
P.A. Trento,4.717548076923077,-2,-18,10,7.898229125875647,-3.0,-19.142857142857142,26.333333333333332
Piemonte,10.429242119382964,-13,-92,58,7.898229125875647,-3.0,-19.142857142857142,26.333333333333332
Puglia,8.978269157453298,5,-4,20,7.898229125875647,-3.0,-19.142857142857142,26.333333333333332
Sardegna,6.261638733705773,-4,-7,8,7.898229125875647,-3.0,-19.142857142857142,26.333333333333332
Sicilia,10.060449050086357,0,-31,10,7.898229125875647,-3.0,-19.142857142857142,26.333333333333332
Toscana,3.5469667318982387,-9,-38,22,7.898229125875647,-3.0,-19.142857142857142,26.333333333333332
Umbria,4.403927068723703,-4,-5,6,7.898229125875647,-3.0,-19.142857142857142,26.333333333333332
Valle d'Aosta,4.932735426008969,-1,-6,2,7.898229125875647,-3.0,-19.142857142857142,26.333333333333332
Veneto,16.301655902491138,1,-12,116,7.898229125875647,-3.0,-19.142857142857142,26.333333333333332
