regione,rapportoGiornalieroSuTamponiTotali,rapportoGiornalieroSuTamponiMolecolari,ingressiGiornalieriInIntensiva,ingressiGiornalieriFuoriIntensiva,decedutiGiornalieri,rapportoItalianoSuTamponiTotali,rapportoItalianoSuTamponiMolecolari,ingressiInIntensivaMediaRegionale,ingressiInOspedaleNonIntensivaMediaRegionale,decedutiMediaRegionale
Abruzzo,4.813504349108064,10.641423208748163,2,-8,16,5.622215185578902,9.675250884297125,0.5238095238095238,1.9047619047619047,14.666666666666666
Basilicata,9.531129900076865,9.959839357429718,0,3,1,5.622215185578902,9.675250884297125,0.5238095238095238,1.9047619047619047,14.666666666666666
Calabria,7.905460472697636,8.903166590178982,-2,6,3,5.622215185578902,9.675250884297125,0.5238095238095238,1.9047619047619047,14.666666666666666
Campania,10.084993022960802,10.667274200081005,1,-14,29,5.622215185578902,9.675250884297125,0.5238095238095238,1.9047619047619047,14.666666666666666
Emilia-Romagna,5.122046858151162,9.503734591944278,2,33,33,5.622215185578902,9.675250884297125,0.5238095238095238,1.9047619047619047,14.666666666666666
Friuli Venezia Giulia,6.80143397729536,6.744779930899805,-2,-10,15,5.622215185578902,9.675250884297125,0.5238095238095238,1.9047619047619047,14.666666666666666
Lazio,3.4344152470536766,7.813438313204777,0,-20,18,5.622215185578902,9.675250884297125,0.5238095238095238,1.9047619047619047,14.666666666666666
Liguria,5.6394260761072985,9.30615606341363,-3,-6,7,5.622215185578902,9.675250884297125,0.5238095238095238,1.9047619047619047,14.666666666666666
Lombardia,8.243156606376159,10.21719262405247,1,78,44,5.622215185578902,9.675250884297125,0.5238095238095238,1.9047619047619047,14.666666666666666
Marche,9.301143583227446,14.704700683005223,0,4,10,5.622215185578902,9.675250884297125,0.5238095238095238,1.9047619047619047,14.666666666666666
Molise,8.125,8.125,1,13,3,5.622215185578902,9.675250884297125,0.5238095238095238,1.9047619047619047,14.666666666666666
P.A. Bolzano,1.9969623671035608,8.25263157894737,-1,-2,3,5.622215185578902,9.675250884297125,0.5238095238095238,1.9047619047619047,14.666666666666666
P.A. Trento,10.304568527918782,7.606787595084845,1,-2,3,5.622215185578902,9.675250884297125,0.5238095238095238,1.9047619047619047,14.666666666666666
Piemonte,6.797251180402974,15.097519865157718,10,-2,20,5.622215185578902,9.675250884297125,0.5238095238095238,1.9047619047619047,14.666666666666666
Puglia,11.25195007800312,12.562534741523068,3,-2,27,5.622215185578902,9.675250884297125,0.5238095238095238,1.9047619047619047,14.666666666666666
Sardegna,2.249718785151856,3.4349506225848003,1,-9,10,5.622215185578902,9.675250884297125,0.5238095238095238,1.9047619047619047,14.666666666666666
Sicilia,2.433795211815619,6.794502327643538,1,-17,15,5.622215185578902,9.675250884297125,0.5238095238095238,1.9047619047619047,14.666666666666666
Toscana,6.043545194633825,9.245439469320067,-4,11,14,5.622215185578902,9.675250884297125,0.5238095238095238,1.9047619047619047,14.666666666666666
Umbria,4.245508029893465,7.351321585903084,-3,-12,9,5.622215185578902,9.675250884297125,0.5238095238095238,1.9047619047619047,14.666666666666666
Valle d'Aosta,0.7017543859649122,0.970873786407767,0,1,0,5.622215185578902,9.675250884297125,0.5238095238095238,1.9047619047619047,14.666666666666666
Veneto,2.8507093981592813,8.261530663963507,3,-5,28,5.622215185578902,9.675250884297125,0.5238095238095238,1.9047619047619047,14.666666666666666
