regione,rapportoGiornalieroSuTamponiMolecolari,ingressiGiornalieriInIntensiva,ingressiGiornalieriFuoriIntensiva,decedutiGiornalieri,rapportoItalianoSuTamponiMolecolari,ingressiInIntensivaMediaRegionale,ingressiInOspedaleNonIntensivaMediaRegionale,decedutiMediaRegionale
Abruzzo,3.1365313653136533,1,8,0,1.7824348134130084,-0.09523809523809523,0.2857142857142857,0.9523809523809523
Basilicata,1.5294117647058822,0,0,0,1.7824348134130084,-0.09523809523809523,0.2857142857142857,0.9523809523809523
Calabria,0.5241090146750524,-1,3,0,1.7824348134130084,-0.09523809523809523,0.2857142857142857,0.9523809523809523
Campania,3.3381712626995648,2,11,2,1.7824348134130084,-0.09523809523809523,0.2857142857142857,0.9523809523809523
Emilia-Romagna,1.2151394422310757,-2,-3,1,1.7824348134130084,-0.09523809523809523,0.2857142857142857,0.9523809523809523
Friuli Venezia Giulia,0.9489612721210566,0,-4,0,1.7824348134130084,-0.09523809523809523,0.2857142857142857,0.9523809523809523
Lazio,2.08597859604571,1,19,2,1.7824348134130084,-0.09523809523809523,0.2857142857142857,0.9523809523809523
Liguria,2.651652742462768,-1,-8,1,1.7824348134130084,-0.09523809523809523,0.2857142857142857,0.9523809523809523
Lombardia,1.3557828789584454,-1,-3,2,1.7824348134130084,-0.09523809523809523,0.2857142857142857,0.9523809523809523
Marche,2.1331609566903684,-1,-3,1,1.7824348134130084,-0.09523809523809523,0.2857142857142857,0.9523809523809523
Molise,1.0121457489878543,0,0,0,1.7824348134130084,-0.09523809523809523,0.2857142857142857,0.9523809523809523
P.A. Bolzano,1.927353595255745,0,0,0,1.7824348134130084,-0.09523809523809523,0.2857142857142857,0.9523809523809523
P.A. Trento,1.0672853828306264,0,-1,0,1.7824348134130084,-0.09523809523809523,0.2857142857142857,0.9523809523809523
Piemonte,1.9096117122851686,0,-2,1,1.7824348134130084,-0.09523809523809523,0.2857142857142857,0.9523809523809523
Puglia,2.7280994240678993,0,1,1,1.7824348134130084,-0.09523809523809523,0.2857142857142857,0.9523809523809523
Sardegna,2.914110429447853,1,0,0,1.7824348134130084,-0.09523809523809523,0.2857142857142857,0.9523809523809523
Sicilia,2.00750469043152,-3,-2,2,1.7824348134130084,-0.09523809523809523,0.2857142857142857,0.9523809523809523
Toscana,1.9185645272601795,0,-8,3,1.7824348134130084,-0.09523809523809523,0.2857142857142857,0.9523809523809523
Umbria,1.2358946802794197,0,2,0,1.7824348134130084,-0.09523809523809523,0.2857142857142857,0.9523809523809523
Valle d'Aosta,1.0,0,0,0,1.7824348134130084,-0.09523809523809523,0.2857142857142857,0.9523809523809523
Veneto,1.381449111925571,2,-4,4,1.7824348134130084,-0.09523809523809523,0.2857142857142857,0.9523809523809523
