regione,rapportoGiornalieroSuTamponiMolecolari,ingressiGiornalieriInIntensiva,ingressiGiornalieriFuoriIntensiva,decedutiGiornalieri,rapportoItalianoSuTamponiMolecolari,ingressiInIntensivaMediaRegionale,ingressiInOspedaleNonIntensivaMediaRegionale,decedutiMediaRegionale
Abruzzo,11.939034716342084,-2,-2,4,14.4218740410988,3.1904761904761907,47.714285714285715,15.952380952380953
Basilicata,13.755325623858795,4,2,0,14.4218740410988,3.1904761904761907,47.714285714285715,15.952380952380953
Calabria,9.116214335421017,-15,28,3,14.4218740410988,3.1904761904761907,47.714285714285715,15.952380952380953
Campania,19.28149787862018,-52,72,15,14.4218740410988,3.1904761904761907,47.714285714285715,15.952380952380953
Emilia-Romagna,9.553828596271941,8,90,12,14.4218740410988,3.1904761904761907,47.714285714285715,15.952380952380953
Friuli Venezia Giulia,8.662825352672362,1,10,3,14.4218740410988,3.1904761904761907,47.714285714285715,15.952380952380953
Lazio,9.13873440553134,20,125,34,14.4218740410988,3.1904761904761907,47.714285714285715,15.952380952380953
Liguria,18.270639960918416,13,49,24,14.4218740410988,3.1904761904761907,47.714285714285715,15.952380952380953
Lombardia,17.746362887729894,32,278,96,14.4218740410988,3.1904761904761907,47.714285714285715,15.952380952380953
Marche,17.87571858746236,1,24,1,14.4218740410988,3.1904761904761907,47.714285714285715,15.952380952380953
Molise,3.556771545827633,1,4,0,14.4218740410988,3.1904761904761907,47.714285714285715,15.952380952380953
P.A. Bolzano,13.408723747980615,5,22,2,14.4218740410988,3.1904761904761907,47.714285714285715,15.952380952380953
P.A. Trento,6.110809342748507,-1,11,4,14.4218740410988,3.1904761904761907,47.714285714285715,15.952380952380953
Piemonte,22.32555236549744,20,146,37,14.4218740410988,3.1904761904761907,47.714285714285715,15.952380952380953
Puglia,16.04260813428018,21,-4,10,14.4218740410988,3.1904761904761907,47.714285714285715,15.952380952380953
Sardegna,9.628466771323914,0,7,2,14.4218740410988,3.1904761904761907,47.714285714285715,15.952380952380953
Sicilia,12.318686006825939,-2,33,19,14.4218740410988,3.1904761904761907,47.714285714285715,15.952380952380953
Toscana,12.11719475009943,7,58,42,14.4218740410988,3.1904761904761907,47.714285714285715,15.952380952380953
Umbria,12.44667503136763,1,2,6,14.4218740410988,3.1904761904761907,47.714285714285715,15.952380952380953
Valle d'Aosta,23.28519855595668,-2,-18,1,14.4218740410988,3.1904761904761907,47.714285714285715,15.952380952380953
Veneto,12.733260153677278,7,65,20,14.4218740410988,3.1904761904761907,47.714285714285715,15.952380952380953
