regione,rapportoGiornalieroSuTamponiMolecolari,ingressiGiornalieriInIntensiva,ingressiGiornalieriFuoriIntensiva,decedutiGiornalieri,rapportoItalianoSuTamponiMolecolari,ingressiInIntensivaMediaRegionale,ingressiInOspedaleNonIntensivaMediaRegionale,decedutiMediaRegionale
Abruzzo,4.356319593670639,-4,-15,5,9.309670394319243,-1.6666666666666667,-22.666666666666668,24.047619047619047
Basilicata,9.220701963117191,-1,5,4,9.309670394319243,-1.6666666666666667,-22.666666666666668,24.047619047619047
Calabria,7.3627036813518405,2,-13,1,9.309670394319243,-1.6666666666666667,-22.666666666666668,24.047619047619047
Campania,5.665555773377769,-5,-25,20,9.309670394319243,-1.6666666666666667,-22.666666666666668,24.047619047619047
Emilia-Romagna,10.63749528479819,-6,-85,76,9.309670394319243,-1.6666666666666667,-22.666666666666668,24.047619047619047
Friuli Venezia Giulia,7.267162221250547,0,-13,15,9.309670394319243,-1.6666666666666667,-22.666666666666668,24.047619047619047
Lazio,9.919676092209235,7,-50,24,9.309670394319243,-1.6666666666666667,-22.666666666666668,24.047619047619047
Liguria,7.098030729279377,0,-2,12,9.309670394319243,-1.6666666666666667,-22.666666666666668,24.047619047619047
Lombardia,8.224437976094631,-15,-65,67,9.309670394319243,-1.6666666666666667,-22.666666666666668,24.047619047619047
Marche,7.393550685907714,3,-2,9,9.309670394319243,-1.6666666666666667,-22.666666666666668,24.047619047619047
Molise,8.167613636363637,0,0,1,9.309670394319243,-1.6666666666666667,-22.666666666666668,24.047619047619047
P.A. Bolzano,7.52916224814422,-2,-13,5,9.309670394319243,-1.6666666666666667,-22.666666666666668,24.047619047619047
P.A. Trento,9.278752436647174,2,-20,9,9.309670394319243,-1.6666666666666667,-22.666666666666668,24.047619047619047
Piemonte,11.684722529294715,-2,-95,48,9.309670394319243,-1.6666666666666667,-22.666666666666668,24.047619047619047
Puglia,11.845953851153721,-2,5,19,9.309670394319243,-1.6666666666666667,-22.666666666666668,24.047619047619047
Sardegna,8.04374240583232,-3,-21,9,9.309670394319243,-1.6666666666666667,-22.666666666666668,24.047619047619047
Sicilia,10.485556238475722,-3,-20,26,9.309670394319243,-1.6666666666666667,-22.666666666666668,24.047619047619047
Toscana,4.820205479452055,-5,-15,35,9.309670394319243,-1.6666666666666667,-22.666666666666668,24.047619047619047
Umbria,5.090137857900318,-2,-1,7,9.309670394319243,-1.6666666666666667,-22.666666666666668,24.047619047619047
Valle d'Aosta,14.112903225806452,0,-1,1,9.309670394319243,-1.6666666666666667,-22.666666666666668,24.047619047619047
Veneto,16.7452212621105,1,-30,112,9.309670394319243,-1.6666666666666667,-22.666666666666668,24.047619047619047
