regione,rapportoGiornalieroSuTamponiTotali,rapportoGiornalieroSuTamponiMolecolari,ingressiGiornalieriInIntensiva,ingressiGiornalieriFuoriIntensiva,decedutiGiornalieri,rapportoItalianoSuTamponiTotali,rapportoItalianoSuTamponiMolecolari,ingressiInIntensivaMediaRegionale,ingressiInOspedaleNonIntensivaMediaRegionale,decedutiMediaRegionale
Abruzzo,0.5077173030056864,0.880214313050134,0,1,0,1.4095193626521143,2.8854666477216835,0.38095238095238093,-0.047619047619047616,0.5238095238095238
Basilicata,2.5380710659898478,3.236245954692557,0,4,0,1.4095193626521143,2.8854666477216835,0.38095238095238093,-0.047619047619047616,0.5238095238095238
Calabria,3.975219411461022,5.720653789004458,1,-1,0,1.4095193626521143,2.8854666477216835,0.38095238095238093,-0.047619047619047616,0.5238095238095238
Campania,1.59287889435465,2.7849829351535837,0,-24,4,1.4095193626521143,2.8854666477216835,0.38095238095238093,-0.047619047619047616,0.5238095238095238
Emilia-Romagna,1.0073536818777074,2.6260226972816048,1,8,0,1.4095193626521143,2.8854666477216835,0.38095238095238093,-0.047619047619047616,0.5238095238095238
Friuli Venezia Giulia,0.4296810444554619,0.4942339373970346,0,1,0,1.4095193626521143,2.8854666477216835,0.38095238095238093,-0.047619047619047616,0.5238095238095238
Lazio,1.7051578137028482,4.766734279918864,0,0,2,1.4095193626521143,2.8854666477216835,0.38095238095238093,-0.047619047619047616,0.5238095238095238
Liguria,1.0,1.9027484143763214,0,1,1,1.4095193626521143,2.8854666477216835,0.38095238095238093,-0.047619047619047616,0.5238095238095238
Lombardia,1.1494915156578607,1.5993265993265993,1,15,2,1.4095193626521143,2.8854666477216835,0.38095238095238093,-0.047619047619047616,0.5238095238095238
Marche,2.1189894050529747,2.658486707566462,0,2,0,1.4095193626521143,2.8854666477216835,0.38095238095238093,-0.047619047619047616,0.5238095238095238
Molise,5.764411027568922,5.764411027568922,0,-1,0,1.4095193626521143,2.8854666477216835,0.38095238095238093,-0.047619047619047616,0.5238095238095238
P.A. Bolzano,0.37821482602118,2.2222222222222223,0,0,0,1.4095193626521143,2.8854666477216835,0.38095238095238093,-0.047619047619047616,0.5238095238095238
P.A. Trento,2.2058823529411766,2.34192037470726,0,-1,0,1.4095193626521143,2.8854666477216835,0.38095238095238093,-0.047619047619047616,0.5238095238095238
Piemonte,0.5573865839472664,1.9479369576766425,-1,-1,0,1.4095193626521143,2.8854666477216835,0.38095238095238093,-0.047619047619047616,0.5238095238095238
Puglia,0.7472384665367121,1.3189448441247003,2,-4,0,1.4095193626521143,2.8854666477216835,0.38095238095238093,-0.047619047619047616,0.5238095238095238
Sardegna,3.3653846153846154,4.677581022385566,0,1,0,1.4095193626521143,2.8854666477216835,0.38095238095238093,-0.047619047619047616,0.5238095238095238
Sicilia,4.027966190128352,8.281484659944217,2,4,0,1.4095193626521143,2.8854666477216835,0.38095238095238093,-0.047619047619047616,0.5238095238095238
Toscana,1.479859894921191,2.913483744892521,1,-2,1,1.4095193626521143,2.8854666477216835,0.38095238095238093,-0.047619047619047616,0.5238095238095238
Umbria,1.3445378151260505,4.040404040404041,0,-3,0,1.4095193626521143,2.8854666477216835,0.38095238095238093,-0.047619047619047616,0.5238095238095238
Valle d'Aosta,1.404494382022472,3.9215686274509802,0,0,0,1.4095193626521143,2.8854666477216835,0.38095238095238093,-0.047619047619047616,0.5238095238095238
Veneto,1.4129459091060208,2.8564702189437337,1,-1,1,1.4095193626521143,2.8854666477216835,0.38095238095238093,-0.047619047619047616,0.5238095238095238
