regione,rapportoGiornalieroSuTamponiTotali,rapportoGiornalieroSuTamponiMolecolari,ingressiGiornalieriInIntensiva,ingressiGiornalieriFuoriIntensiva,decedutiGiornalieri,rapportoItalianoSuTamponiTotali,rapportoItalianoSuTamponiMolecolari,ingressiInIntensivaMediaRegionale,ingressiInOspedaleNonIntensivaMediaRegionale,decedutiMediaRegionale
Abruzzo,0.0,0.0,0,0,0,1.206997322314499,2.3213804259908333,-0.14285714285714285,0.7142857142857143,0.6190476190476191
Basilicata,0.0,0.0,0,0,0,1.206997322314499,2.3213804259908333,-0.14285714285714285,0.7142857142857143,0.6190476190476191
Calabria,1.2241054613935969,1.9431988041853512,-1,1,2,1.206997322314499,2.3213804259908333,-0.14285714285714285,0.7142857142857143,0.6190476190476191
Campania,2.174598172076899,3.9930555555555554,0,2,3,1.206997322314499,2.3213804259908333,-0.14285714285714285,0.7142857142857143,0.6190476190476191
Emilia-Romagna,1.5124327095616508,2.6940639269406392,1,1,0,1.206997322314499,2.3213804259908333,-0.14285714285714285,0.7142857142857143,0.6190476190476191
Friuli Venezia Giulia,1.4505119453924915,1.9441069258809234,0,-1,0,1.206997322314499,2.3213804259908333,-0.14285714285714285,0.7142857142857143,0.6190476190476191
Lazio,1.7284695005527082,3.060850439882698,0,5,1,1.206997322314499,2.3213804259908333,-0.14285714285714285,0.7142857142857143,0.6190476190476191
Liguria,0.37862852334875896,0.5196304849884527,-1,-3,0,1.206997322314499,2.3213804259908333,-0.14285714285714285,0.7142857142857143,0.6190476190476191
Lombardia,1.091828525456844,1.0393964794635373,-1,4,1,1.206997322314499,2.3213804259908333,-0.14285714285714285,0.7142857142857143,0.6190476190476191
Marche,1.0650887573964498,1.1764705882352942,0,0,0,1.206997322314499,2.3213804259908333,-0.14285714285714285,0.7142857142857143,0.6190476190476191
Molise,0.8547008547008547,0.8547008547008547,0,0,0,1.206997322314499,2.3213804259908333,-0.14285714285714285,0.7142857142857143,0.6190476190476191
P.A. Bolzano,0.0,0.0,0,0,1,1.206997322314499,2.3213804259908333,-0.14285714285714285,0.7142857142857143,0.6190476190476191
P.A. Trento,0.6666666666666666,0.0,0,0,0,1.206997322314499,2.3213804259908333,-0.14285714285714285,0.7142857142857143,0.6190476190476191
Piemonte,0.1655306718597858,0.6252791424743189,-1,-1,0,1.206997322314499,2.3213804259908333,-0.14285714285714285,0.7142857142857143,0.6190476190476191
Puglia,0.4375863657300783,1.3610315186246418,0,-5,2,1.206997322314499,2.3213804259908333,-0.14285714285714285,0.7142857142857143,0.6190476190476191
Sardegna,5.014749262536873,6.431273644388399,1,1,0,1.206997322314499,2.3213804259908333,-0.14285714285714285,0.7142857142857143,0.6190476190476191
Sicilia,2.2411474675033616,5.9689614007162755,1,11,0,1.206997322314499,2.3213804259908333,-0.14285714285714285,0.7142857142857143,0.6190476190476191
Toscana,2.0072992700729926,2.215508559919436,-1,0,2,1.206997322314499,2.3213804259908333,-0.14285714285714285,0.7142857142857143,0.6190476190476191
Umbria,0.49504950495049505,0.8130081300813008,0,1,0,1.206997322314499,2.3213804259908333,-0.14285714285714285,0.7142857142857143,0.6190476190476191
Valle d'Aosta,0.0,0.0,0,0,0,1.206997322314499,2.3213804259908333,-0.14285714285714285,0.7142857142857143,0.6190476190476191
Veneto,0.7275512157763737,2.202225905754203,-1,-1,1,1.206997322314499,2.3213804259908333,-0.14285714285714285,0.7142857142857143,0.6190476190476191
