regione,rapportoGiornalieroSuTamponiMolecolari,ingressiGiornalieriInIntensiva,ingressiGiornalieriFuoriIntensiva,decedutiGiornalieri,rapportoItalianoSuTamponiMolecolari,ingressiInIntensivaMediaRegionale,ingressiInOspedaleNonIntensivaMediaRegionale,decedutiMediaRegionale
Abruzzo,5.70076147355423,-2,-16,12,10.131898451936733,-3.142857142857143,-23.61904761904762,30.904761904761905
Basilicata,7.699275362318841,-1,-2,1,10.131898451936733,-3.142857142857143,-23.61904761904762,30.904761904761905
Calabria,8.788332086761406,1,-13,5,10.131898451936733,-3.142857142857143,-23.61904761904762,30.904761904761905
Campania,7.191171235315059,-7,-34,47,10.131898451936733,-3.142857142857143,-23.61904761904762,30.904761904761905
Emilia-Romagna,10.052851182197497,-9,1,82,10.131898451936733,-3.142857142857143,-23.61904761904762,30.904761904761905
Friuli Venezia Giulia,10.468972051160588,-4,10,28,10.131898451936733,-3.142857142857143,-23.61904761904762,30.904761904761905
Lazio,7.42260350615442,-2,-57,41,10.131898451936733,-3.142857142857143,-23.61904761904762,30.904761904761905
Liguria,6.149169978957213,-7,-21,22,10.131898451936733,-3.142857142857143,-23.61904761904762,30.904761904761905
Lombardia,9.384968956882654,-16,-128,85,10.131898451936733,-3.142857142857143,-23.61904761904762,30.904761904761905
Marche,10.896351775791254,0,-3,11,10.131898451936733,-3.142857142857143,-23.61904761904762,30.904761904761905
Molise,6.233766233766234,0,6,8,10.131898451936733,-3.142857142857143,-23.61904761904762,30.904761904761905
P.A. Bolzano,10.442773600668337,0,0,5,10.131898451936733,-3.142857142857143,-23.61904761904762,30.904761904761905
P.A. Trento,6.416184971098266,-3,-8,11,10.131898451936733,-3.142857142857143,-23.61904761904762,30.904761904761905
Piemonte,7.91682668568607,4,-148,59,10.131898451936733,-3.142857142857143,-23.61904761904762,30.904761904761905
Puglia,14.477421882652562,7,-8,43,10.131898451936733,-3.142857142857143,-23.61904761904762,30.904761904761905
Sardegna,5.313092979127135,-3,-9,7,10.131898451936733,-3.142857142857143,-23.61904761904762,30.904761904761905
Sicilia,11.21536593442985,-1,-37,23,10.131898451936733,-3.142857142857143,-23.61904761904762,30.904761904761905
Toscana,4.520752933763881,-13,-47,35,10.131898451936733,-3.142857142857143,-23.61904761904762,30.904761904761905
Umbria,6.635220125786163,-5,-13,10,10.131898451936733,-3.142857142857143,-23.61904761904762,30.904761904761905
Valle d'Aosta,7.440476190476191,-1,-12,4,10.131898451936733,-3.142857142857143,-23.61904761904762,30.904761904761905
Veneto,21.07830976598032,-4,43,110,10.131898451936733,-3.142857142857143,-23.61904761904762,30.904761904761905
