regione,rapportoGiornalieroSuTamponiTotali,rapportoGiornalieroSuTamponiMolecolari,ingressiGiornalieriInIntensiva,ingressiGiornalieriFuoriIntensiva,decedutiGiornalieri,rapportoItalianoSuTamponiTotali,rapportoItalianoSuTamponiMolecolari,ingressiInIntensivaMediaRegionale,ingressiInOspedaleNonIntensivaMediaRegionale,decedutiMediaRegionale
Abruzzo,4.395790902919212,5.647623201046664,-2,0,3,6.221256420387199,9.319217038040133,-0.14285714285714285,-19.19047619047619,15.761904761904763
Basilicata,15.92071611253197,16.67782987273945,2,7,2,6.221256420387199,9.319217038040133,-0.14285714285714285,-19.19047619047619,15.761904761904763
Calabria,18.462017434620176,19.184729860886446,0,1,6,6.221256420387199,9.319217038040133,-0.14285714285714285,-19.19047619047619,15.761904761904763
Campania,7.181592810660056,10.759677325750102,4,14,27,6.221256420387199,9.319217038040133,-0.14285714285714285,-19.19047619047619,15.761904761904763
Emilia-Romagna,6.640181611804767,11.344619575792956,-4,-94,40,6.221256420387199,9.319217038040133,-0.14285714285714285,-19.19047619047619,15.761904761904763
Friuli Venezia Giulia,4.237115502138929,4.619930163846361,0,3,12,6.221256420387199,9.319217038040133,-0.14285714285714285,-19.19047619047619,15.761904761904763
Lazio,5.1600381996857765,10.462916246215944,7,-51,19,6.221256420387199,9.319217038040133,-0.14285714285714285,-19.19047619047619,15.761904761904763
Liguria,5.645433097404786,8.277736595008648,4,2,32,6.221256420387199,9.319217038040133,-0.14285714285714285,-19.19047619047619,15.761904761904763
Lombardia,5.573445028206184,6.1683220073183485,-10,-163,77,6.221256420387199,9.319217038040133,-0.14285714285714285,-19.19047619047619,15.761904761904763
Marche,9.14826498422713,10.472014444157853,-3,3,11,6.221256420387199,9.319217038040133,-0.14285714285714285,-19.19047619047619,15.761904761904763
Molise,5.4519368723099,5.4519368723099,1,-4,1,6.221256420387199,9.319217038040133,-0.14285714285714285,-19.19047619047619,15.761904761904763
P.A. Bolzano,1.5098959396041625,5.799373040752351,-1,0,0,6.221256420387199,9.319217038040133,-0.14285714285714285,-19.19047619047619,15.761904761904763
P.A. Trento,4.213864975079293,3.201219512195122,-2,8,0,6.221256420387199,9.319217038040133,-0.14285714285714285,-19.19047619047619,15.761904761904763
Piemonte,8.664898320070733,12.369402985074627,-4,-27,13,6.221256420387199,9.319217038040133,-0.14285714285714285,-19.19047619047619,15.761904761904763
Puglia,12.96137339055794,14.401622718052739,8,11,15,6.221256420387199,9.319217038040133,-0.14285714285714285,-19.19047619047619,15.761904761904763
Sardegna,8.34841628959276,8.34841628959276,1,12,4,6.221256420387199,9.319217038040133,-0.14285714285714285,-19.19047619047619,15.761904761904763
Sicilia,6.771053745239103,15.039613267087418,7,-4,9,6.221256420387199,9.319217038040133,-0.14285714285714285,-19.19047619047619,15.761904761904763
Toscana,5.42773385449054,7.316025286933039,-2,-20,30,6.221256420387199,9.319217038040133,-0.14285714285714285,-19.19047619047619,15.761904761904763
Umbria,2.234359483614697,5.834053586862575,-2,-13,2,6.221256420387199,9.319217038040133,-0.14285714285714285,-19.19047619047619,15.761904761904763
Valle d'Aosta,7.142857142857143,11.295681063122924,0,-1,0,6.221256420387199,9.319217038040133,-0.14285714285714285,-19.19047619047619,15.761904761904763
Veneto,3.386206360314128,6.475531389026199,-7,-87,28,6.221256420387199,9.319217038040133,-0.14285714285714285,-19.19047619047619,15.761904761904763
