regione,rapportoGiornalieroSuTamponiTotali,rapportoGiornalieroSuTamponiMolecolari,ingressiGiornalieriInIntensiva,ingressiGiornalieriFuoriIntensiva,decedutiGiornalieri,rapportoItalianoSuTamponiTotali,rapportoItalianoSuTamponiMolecolari,ingressiInIntensivaMediaRegionale,ingressiInOspedaleNonIntensivaMediaRegionale,decedutiMediaRegionale
Abruzzo,2.2571680336202804,7.1214713430282295,-1,9,0,3.8291003656726086,10.185292117385893,0.5238095238095238,7.523809523809524,3.142857142857143
Basilicata,9.024896265560166,9.446254071661238,0,0,0,3.8291003656726086,10.185292117385893,0.5238095238095238,7.523809523809524,3.142857142857143
Calabria,7.955742887249737,16.796440489432705,-2,5,3,3.8291003656726086,10.185292117385893,0.5238095238095238,7.523809523809524,3.142857142857143
Campania,4.951808008279967,9.659915452078996,6,14,2,3.8291003656726086,10.185292117385893,0.5238095238095238,7.523809523809524,3.142857142857143
Emilia-Romagna,6.626809525408928,10.134128166915053,-3,18,14,3.8291003656726086,10.185292117385893,0.5238095238095238,7.523809523809524,3.142857142857143
Friuli Venezia Giulia,3.766205935926283,10.977701543739279,1,4,7,3.8291003656726086,10.185292117385893,0.5238095238095238,7.523809523809524,3.142857142857143
Lazio,4.644950832072618,12.281143720871647,4,8,3,3.8291003656726086,10.185292117385893,0.5238095238095238,7.523809523809524,3.142857142857143
Liguria,3.945745992601726,11.120764552562989,-1,8,5,3.8291003656726086,10.185292117385893,0.5238095238095238,7.523809523809524,3.142857142857143
Lombardia,3.0037294627557705,7.9013182993514475,3,-24,10,3.8291003656726086,10.185292117385893,0.5238095238095238,7.523809523809524,3.142857142857143
Marche,9.227667493796526,13.042525208242,2,6,1,3.8291003656726086,10.185292117385893,0.5238095238095238,7.523809523809524,3.142857142857143
Molise,3.3333333333333335,3.3333333333333335,0,1,0,3.8291003656726086,10.185292117385893,0.5238095238095238,7.523809523809524,3.142857142857143
P.A. Bolzano,4.024673880068764,9.169467114738358,-2,10,1,3.8291003656726086,10.185292117385893,0.5238095238095238,7.523809523809524,3.142857142857143
P.A. Trento,2.899527983816588,10.828025477707007,2,2,1,3.8291003656726086,10.185292117385893,0.5238095238095238,7.523809523809524,3.142857142857143
Piemonte,3.2941819175088773,9.136236984895145,2,40,0,3.8291003656726086,10.185292117385893,0.5238095238095238,7.523809523809524,3.142857142857143
Puglia,2.3094443561629325,7.140544041450777,-1,2,1,3.8291003656726086,10.185292117385893,0.5238095238095238,7.523809523809524,3.142857142857143
Sardegna,2.051282051282051,6.065711878685763,0,3,1,3.8291003656726086,10.185292117385893,0.5238095238095238,7.523809523809524,3.142857142857143
Sicilia,4.733618823962794,15.202602780242533,4,31,6,3.8291003656726086,10.185292117385893,0.5238095238095238,7.523809523809524,3.142857142857143
Toscana,2.646412534632655,7.588406340868587,-2,21,5,3.8291003656726086,10.185292117385893,0.5238095238095238,7.523809523809524,3.142857142857143
Umbria,1.4732100966500892,6.0061208875286916,1,0,1,3.8291003656726086,10.185292117385893,0.5238095238095238,7.523809523809524,3.142857142857143
Valle d'Aosta,3.386372909016728,14.501510574018127,0,0,0,3.8291003656726086,10.185292117385893,0.5238095238095238,7.523809523809524,3.142857142857143
Veneto,3.909452724426012,12.822724087748613,-2,0,5,3.8291003656726086,10.185292117385893,0.5238095238095238,7.523809523809524,3.142857142857143
