regione,rapportoGiornalieroSuTamponiTotali,rapportoGiornalieroSuTamponiMolecolari,ingressiGiornalieriInIntensiva,ingressiGiornalieriFuoriIntensiva,decedutiGiornalieri,rapportoItalianoSuTamponiTotali,rapportoItalianoSuTamponiMolecolari,ingressiInIntensivaMediaRegionale,ingressiInOspedaleNonIntensivaMediaRegionale,decedutiMediaRegionale
Abruzzo,1.5140158896717133,4.1701073492981005,1,2,0,3.273874265825538,8.163812812018849,-0.23809523809523808,3.0952380952380953,2.3333333333333335
Basilicata,4.72193074501574,4.833512352309345,0,2,0,3.273874265825538,8.163812812018849,-0.23809523809523808,3.0952380952380953,2.3333333333333335
Calabria,12.61180679785331,25.428313796212805,-2,-1,3,3.273874265825538,8.163812812018849,-0.23809523809523808,3.0952380952380953,2.3333333333333335
Campania,4.120795107033639,8.717451075529679,-1,8,7,3.273874265825538,8.163812812018849,-0.23809523809523808,3.0952380952380953,2.3333333333333335
Emilia-Romagna,2.6566018850613062,6.739661953864144,-3,-3,1,3.273874265825538,8.163812812018849,-0.23809523809523808,3.0952380952380953,2.3333333333333335
Friuli Venezia Giulia,1.7087554816270982,2.274247491638796,-1,2,0,3.273874265825538,8.163812812018849,-0.23809523809523808,3.0952380952380953,2.3333333333333335
Lazio,inf,inf,2,2,7,3.273874265825538,8.163812812018849,-0.23809523809523808,3.0952380952380953,2.3333333333333335
Liguria,3.0893821235752847,6.583573026526047,-2,7,0,3.273874265825538,8.163812812018849,-0.23809523809523808,3.0952380952380953,2.3333333333333335
Lombardia,1.4588821026427765,2.979362101313321,-1,5,3,3.273874265825538,8.163812812018849,-0.23809523809523808,3.0952380952380953,2.3333333333333335
Marche,6.055900621118012,7.303370786516854,0,4,1,3.273874265825538,8.163812812018849,-0.23809523809523808,3.0952380952380953,2.3333333333333335
Molise,5.932203389830509,5.932203389830509,0,0,0,3.273874265825538,8.163812812018849,-0.23809523809523808,3.0952380952380953,2.3333333333333335
P.A. Bolzano,1.0247349823321554,7.806191117092867,0,-2,0,3.273874265825538,8.163812812018849,-0.23809523809523808,3.0952380952380953,2.3333333333333335
P.A. Trento,1.5004688965301656,1.8276762402088773,0,2,0,3.273874265825538,8.163812812018849,-0.23809523809523808,3.0952380952380953,2.3333333333333335
Piemonte,1.1966875688095353,5.052386495925495,-1,-11,1,3.273874265825538,8.163812812018849,-0.23809523809523808,3.0952380952380953,2.3333333333333335
Puglia,2.4505649717514126,6.429140127388535,-1,11,2,3.273874265825538,8.163812812018849,-0.23809523809523808,3.0952380952380953,2.3333333333333335
Sardegna,6.806282722513089,10.953291450423382,-1,4,4,3.273874265825538,8.163812812018849,-0.23809523809523808,3.0952380952380953,2.3333333333333335
Sicilia,8.596021205039047,20.039867109634553,0,22,12,3.273874265825538,8.163812812018849,-0.23809523809523808,3.0952380952380953,2.3333333333333335
Toscana,5.52006939515811,8.78073902407622,3,8,4,3.273874265825538,8.163812812018849,-0.23809523809523808,3.0952380952380953,2.3333333333333335
Umbria,2.443680794196258,6.945198046663049,0,3,1,3.273874265825538,8.163812812018849,-0.23809523809523808,3.0952380952380953,2.3333333333333335
Valle d'Aosta,0.7507507507507507,1.0,0,-1,0,3.273874265825538,8.163812812018849,-0.23809523809523808,3.0952380952380953,2.3333333333333335
Veneto,1.368452429341788,4.957248534921702,2,1,3,3.273874265825538,8.163812812018849,-0.23809523809523808,3.0952380952380953,2.3333333333333335
