regione,rapportoGiornalieroSuTamponiMolecolari,ingressiGiornalieriInIntensiva,ingressiGiornalieriFuoriIntensiva,decedutiGiornalieri,rapportoItalianoSuTamponiMolecolari,ingressiInIntensivaMediaRegionale,ingressiInOspedaleNonIntensivaMediaRegionale,decedutiMediaRegionale
Abruzzo,34.193548387096776,-5,23,2,32.96867695184666,9.952380952380953,89.0,16.428571428571427
Basilicata,25.0,0,4,0,32.96867695184666,9.952380952380953,89.0,16.428571428571427
Calabria,9.505703422053232,3,9,0,32.96867695184666,9.952380952380953,89.0,16.428571428571427
Campania,35.714285714285715,2,24,0,32.96867695184666,9.952380952380953,89.0,16.428571428571427
Emilia-Romagna,28.925035360678926,26,204,47,32.96867695184666,9.952380952380953,89.0,16.428571428571427
Friuli Venezia Giulia,7.4766355140186915,2,8,8,32.96867695184666,9.952380952380953,89.0,16.428571428571427
Lazio,79.24528301886792,13,47,4,32.96867695184666,9.952380952380953,89.0,16.428571428571427
Liguria,34.6875,12,44,10,32.96867695184666,9.952380952380953,89.0,16.428571428571427
Lombardia,54.472954230235786,56,782,220,32.96867695184666,9.952380952380953,89.0,16.428571428571427
Marche,inf,-1,71,12,32.96867695184666,9.952380952380953,89.0,16.428571428571427
Molise,8.333333333333334,0,4,0,32.96867695184666,9.952380952380953,89.0,16.428571428571427
P.A. Bolzano,12.224938875305623,0,18,2,32.96867695184666,9.952380952380953,89.0,16.428571428571427
P.A. Trento,0.970873786407767,3,34,1,32.96867695184666,9.952380952380953,89.0,16.428571428571427
Piemonte,39.89528795811518,20,333,22,32.96867695184666,9.952380952380953,89.0,16.428571428571427
Puglia,10.377358490566039,8,39,2,32.96867695184666,9.952380952380953,89.0,16.428571428571427
Sardegna,4.854368932038835,4,-3,0,32.96867695184666,9.952380952380953,89.0,16.428571428571427
Sicilia,9.125475285171103,8,11,1,32.96867695184666,9.952380952380953,89.0,16.428571428571427
Toscana,22.88861689106487,36,154,3,32.96867695184666,9.952380952380953,89.0,16.428571428571427
Umbria,14.347826086956522,6,6,0,32.96867695184666,9.952380952380953,89.0,16.428571428571427
Valle d'Aosta,27.92792792792793,1,7,0,32.96867695184666,9.952380952380953,89.0,16.428571428571427
Veneto,54.225352112676056,15,50,11,32.96867695184666,9.952380952380953,89.0,16.428571428571427
