regione,rapportoGiornalieroSuTamponiTotali,rapportoGiornalieroSuTamponiMolecolari,ingressiGiornalieriInIntensiva,ingressiGiornalieriFuoriIntensiva,decedutiGiornalieri,rapportoItalianoSuTamponiTotali,rapportoItalianoSuTamponiMolecolari,ingressiInIntensivaMediaRegionale,ingressiInOspedaleNonIntensivaMediaRegionale,decedutiMediaRegionale
Abruzzo,4.4660931174089065,6.39145391997103,2,3,9,7.275358552940243,11.239249298064134,2.9047619047619047,20.142857142857142,14.285714285714286
Basilicata,9.532215357458076,9.854014598540147,-1,-4,6,7.275358552940243,11.239249298064134,2.9047619047619047,20.142857142857142,14.285714285714286
Calabria,13.985064494229464,14.56859971711457,-5,6,7,7.275358552940243,11.239249298064134,2.9047619047619047,20.142857142857142,14.285714285714286
Campania,7.944868756035467,10.766119438496313,12,38,26,7.275358552940243,11.239249298064134,2.9047619047619047,20.142857142857142,14.285714285714286
Emilia-Romagna,14.307422559906488,15.80448593284066,-5,47,34,7.275358552940243,11.239249298064134,2.9047619047619047,20.142857142857142,14.285714285714286
Friuli Venezia Giulia,8.302212008043666,7.8238133547868065,1,32,15,7.275358552940243,11.239249298064134,2.9047619047619047,20.142857142857142,14.285714285714286
Lazio,5.7364985922702845,11.937271866973097,12,99,15,7.275358552940243,11.239249298064134,2.9047619047619047,20.142857142857142,14.285714285714286
Liguria,7.345834138797603,11.1731843575419,-6,1,5,7.275358552940243,11.239249298064134,2.9047619047619047,20.142857142857142,14.285714285714286
Lombardia,8.673889490790899,9.47245618028682,15,35,90,7.275358552940243,11.239249298064134,2.9047619047619047,20.142857142857142,14.285714285714286
Marche,13.446023818670765,16.17001617001617,6,6,8,7.275358552940243,11.239249298064134,2.9047619047619047,20.142857142857142,14.285714285714286
Molise,7.206068268015171,7.206068268015171,0,3,0,7.275358552940243,11.239249298064134,2.9047619047619047,20.142857142857142,14.285714285714286
P.A. Bolzano,1.4498283098054179,6.684856753069577,-2,2,0,7.275358552940243,11.239249298064134,2.9047619047619047,20.142857142857142,14.285714285714286
P.A. Trento,6.655216831258051,5.939716312056738,0,11,1,7.275358552940243,11.239249298064134,2.9047619047619047,20.142857142857142,14.285714285714286
Piemonte,11.258278145695364,19.109417787831884,14,94,12,7.275358552940243,11.239249298064134,2.9047619047619047,20.142857142857142,14.285714285714286
Puglia,16.055665178107798,18.277310924369747,3,15,10,7.275358552940243,11.239249298064134,2.9047619047619047,20.142857142857142,14.285714285714286
Sardegna,1.0810810810810811,6.36297903109183,-1,3,4,7.275358552940243,11.239249298064134,2.9047619047619047,20.142857142857142,14.285714285714286
Sicilia,2.903668009803514,8.342284282133907,3,20,8,7.275358552940243,11.239249298064134,2.9047619047619047,20.142857142857142,14.285714285714286
Toscana,6.488604328921592,8.498306850742381,5,-16,36,7.275358552940243,11.239249298064134,2.9047619047619047,20.142857142857142,14.285714285714286
Umbria,2.8085443037974684,6.589327146171693,-2,-6,4,7.275358552940243,11.239249298064134,2.9047619047619047,20.142857142857142,14.285714285714286
Valle d'Aosta,4.597701149425287,9.75609756097561,0,-3,0,7.275358552940243,11.239249298064134,2.9047619047619047,20.142857142857142,14.285714285714286
Veneto,5.291428952724118,10.03665241295052,10,37,10,7.275358552940243,11.239249298064134,2.9047619047619047,20.142857142857142,14.285714285714286
