regione,rapportoGiornalieroSuTamponiMolecolari,ingressiGiornalieriInIntensiva,ingressiGiornalieriFuoriIntensiva,decedutiGiornalieri,rapportoItalianoSuTamponiMolecolari,ingressiInIntensivaMediaRegionale,ingressiInOspedaleNonIntensivaMediaRegionale,decedutiMediaRegionale
Abruzzo,9.622641509433961,-3,2,15,11.327858757832294,-1.4285714285714286,-27.238095238095237,38.76190476190476
Basilicata,8.348030570252792,0,4,3,11.327858757832294,-1.4285714285714286,-27.238095238095237,38.76190476190476
Calabria,11.468675111263266,2,-9,7,11.327858757832294,-1.4285714285714286,-27.238095238095237,38.76190476190476
Campania,8.813324080499653,4,-42,85,11.327858757832294,-1.4285714285714286,-27.238095238095237,38.76190476190476
Emilia-Romagna,12.123097810714487,3,49,63,11.327858757832294,-1.4285714285714286,-27.238095238095237,38.76190476190476
Friuli Venezia Giulia,11.099252934898612,0,3,36,11.327858757832294,-1.4285714285714286,-27.238095238095237,38.76190476190476
Lazio,7.979604288329121,-4,-55,62,11.327858757832294,-1.4285714285714286,-27.238095238095237,38.76190476190476
Liguria,7.70199370409234,-3,-20,25,11.327858757832294,-1.4285714285714286,-27.238095238095237,38.76190476190476
Lombardia,10.722395685495316,-14,-233,147,11.327858757832294,-1.4285714285714286,-27.238095238095237,38.76190476190476
Marche,10.213826032800498,-1,-8,7,11.327858757832294,-1.4285714285714286,-27.238095238095237,38.76190476190476
Molise,11.617161716171617,0,-1,2,11.327858757832294,-1.4285714285714286,-27.238095238095237,38.76190476190476
P.A. Bolzano,14.186162269785964,-3,-10,11,11.327858757832294,-1.4285714285714286,-27.238095238095237,38.76190476190476
P.A. Trento,6.486899007886034,2,11,6,11.327858757832294,-1.4285714285714286,-27.238095238095237,38.76190476190476
Piemonte,10.227381751894848,-9,-108,54,11.327858757832294,-1.4285714285714286,-27.238095238095237,38.76190476190476
Puglia,14.968354430379748,1,-25,72,11.327858757832294,-1.4285714285714286,-27.238095238095237,38.76190476190476
Sardegna,11.541684122329283,4,-2,49,11.327858757832294,-1.4285714285714286,-27.238095238095237,38.76190476190476
Sicilia,13.614602034709755,-5,-34,39,11.327858757832294,-1.4285714285714286,-27.238095238095237,38.76190476190476
Toscana,7.609776893562597,-9,-49,42,11.327858757832294,-1.4285714285714286,-27.238095238095237,38.76190476190476
Umbria,5.008944543828265,3,-17,4,11.327858757832294,-1.4285714285714286,-27.238095238095237,38.76190476190476
Valle d'Aosta,9.215017064846416,0,-4,2,11.327858757832294,-1.4285714285714286,-27.238095238095237,38.76190476190476
Veneto,28.53844377741861,2,-24,83,11.327858757832294,-1.4285714285714286,-27.238095238095237,38.76190476190476
