regione,rapportoGiornalieroSuTamponiTotali,rapportoGiornalieroSuTamponiMolecolari,ingressiGiornalieriInIntensiva,ingressiGiornalieriFuoriIntensiva,decedutiGiornalieri,rapportoItalianoSuTamponiTotali,rapportoItalianoSuTamponiMolecolari,ingressiInIntensivaMediaRegionale,ingressiInOspedaleNonIntensivaMediaRegionale,decedutiMediaRegionale
Abruzzo,12.207792207792208,18.259123656548955,1,6,5,16.410019077295143,21.555590451058418,-1.4761904761904763,-2.0476190476190474,15.857142857142858
Basilicata,16.865363217294547,15.360169491525424,1,0,2,16.410019077295143,21.555590451058418,-1.4761904761904763,-2.0476190476190474,15.857142857142858
Calabria,15.444523111156064,12.28368794326241,0,-10,7,16.410019077295143,21.555590451058418,-1.4761904761904763,-2.0476190476190474,15.857142857142858
Campania,15.336986009894144,13.884411009612514,1,9,22,16.410019077295143,21.555590451058418,-1.4761904761904763,-2.0476190476190474,15.857142857142858
Emilia-Romagna,23.59295653894348,38.72725165179089,-3,8,29,16.410019077295143,21.555590451058418,-1.4761904761904763,-2.0476190476190474,15.857142857142858
Friuli Venezia Giulia,16.500519502400945,13.907345044143078,-4,1,8,16.410019077295143,21.555590451058418,-1.4761904761904763,-2.0476190476190474,15.857142857142858
Lazio,13.445279047826402,36.06918918918919,-1,-1,13,16.410019077295143,21.555590451058418,-1.4761904761904763,-2.0476190476190474,15.857142857142858
Liguria,17.723240503199087,25.69906790945406,-1,-4,21,16.410019077295143,21.555590451058418,-1.4761904761904763,-2.0476190476190474,15.857142857142858
Lombardia,14.555883026076721,19.3398199508957,-2,-42,82,16.410019077295143,21.555590451058418,-1.4761904761904763,-2.0476190476190474,15.857142857142858
Marche,38.744955083973444,56.08838740009403,2,-5,5,16.410019077295143,21.555590451058418,-1.4761904761904763,-2.0476190476190474,15.857142857142858
Molise,12.526411107757319,5.631536604987932,0,0,1,16.410019077295143,21.555590451058418,-1.4761904761904763,-2.0476190476190474,15.857142857142858
P.A. Bolzano,16.05643456902953,18.21286283437678,2,-5,1,16.410019077295143,21.555590451058418,-1.4761904761904763,-2.0476190476190474,15.857142857142858
P.A. Trento,18.44321371671345,12.975778546712803,0,-7,1,16.410019077295143,21.555590451058418,-1.4761904761904763,-2.0476190476190474,15.857142857142858
Piemonte,13.61005137596012,14.05122920653614,0,32,11,16.410019077295143,21.555590451058418,-1.4761904761904763,-2.0476190476190474,15.857142857142858
Puglia,18.251530199792125,29.174844269988906,2,-13,11,16.410019077295143,21.555590451058418,-1.4761904761904763,-2.0476190476190474,15.857142857142858
Sardegna,4.720902612826603,21.553059643687064,0,6,5,16.410019077295143,21.555590451058418,-1.4761904761904763,-2.0476190476190474,15.857142857142858
Sicilia,17.356327153358915,14.374604513815651,-10,-4,44,16.410019077295143,21.555590451058418,-1.4761904761904763,-2.0476190476190474,15.857142857142858
Toscana,16.28090232794198,22.999222999223,-3,13,24,16.410019077295143,21.555590451058418,-1.4761904761904763,-2.0476190476190474,15.857142857142858
Umbria,14.702435212918349,28.234617596319723,-2,-7,3,16.410019077295143,21.555590451058418,-1.4761904761904763,-2.0476190476190474,15.857142857142858
Valle d'Aosta,17.343623070674248,-20.32520325203252,1,-1,0,16.410019077295143,21.555590451058418,-1.4761904761904763,-2.0476190476190474,15.857142857142858
Veneto,22.023439424689997,9.09701091820297,-15,-19,38,16.410019077295143,21.555590451058418,-1.4761904761904763,-2.0476190476190474,15.857142857142858
