regione,rapportoGiornalieroSuTamponiMolecolari,ingressiGiornalieriInIntensiva,ingressiGiornalieriFuoriIntensiva,decedutiGiornalieri,rapportoItalianoSuTamponiMolecolari,ingressiInIntensivaMediaRegionale,ingressiInOspedaleNonIntensivaMediaRegionale,decedutiMediaRegionale
Abruzzo,1.9077901430842608,-2,-3,5,3.2682093784761936,-3.238095238095238,-24.428571428571427,15.380952380952381
Basilicata,0.0,-3,-5,0,3.2682093784761936,-3.238095238095238,-24.428571428571427,15.380952380952381
Calabria,0.4314063848144953,0,-6,1,3.2682093784761936,-3.238095238095238,-24.428571428571427,15.380952380952381
Campania,1.1867088607594938,-2,-26,1,3.2682093784761936,-3.238095238095238,-24.428571428571427,15.380952380952381
Emilia-Romagna,6.1506080449017775,-2,-47,40,3.2682093784761936,-3.238095238095238,-24.428571428571427,15.380952380952381
Friuli Venezia Giulia,0.5729564553093965,-1,-2,7,3.2682093784761936,-3.238095238095238,-24.428571428571427,15.380952380952381
Lazio,1.611903285802852,-2,-23,17,3.2682093784761936,-3.238095238095238,-24.428571428571427,15.380952380952381
Liguria,7.794803464357095,-11,-21,11,3.2682093784761936,-3.238095238095238,-24.428571428571427,15.380952380952381
Lombardia,5.4311774461028195,-21,-160,104,3.2682093784761936,-3.238095238095238,-24.428571428571427,15.380952380952381
Marche,2.198492462311558,-6,-26,6,3.2682093784761936,-3.238095238095238,-24.428571428571427,15.380952380952381
Molise,0.0,0,-1,0,3.2682093784761936,-3.238095238095238,-24.428571428571427,15.380952380952381
P.A. Bolzano,0.8272058823529411,-1,-17,2,3.2682093784761936,-3.238095238095238,-24.428571428571427,15.380952380952381
P.A. Trento,3.7639007698887936,0,-17,4,3.2682093784761936,-3.238095238095238,-24.428571428571427,15.380952380952381
Piemonte,6.102449888641425,0,-64,67,3.2682093784761936,-3.238095238095238,-24.428571428571427,15.380952380952381
Puglia,2.6659412404787814,-4,1,3,3.2682093784761936,-3.238095238095238,-24.428571428571427,15.380952380952381
Sardegna,0.42265426880811496,-1,-9,7,3.2682093784761936,-3.238095238095238,-24.428571428571427,15.380952380952381
Sicilia,0.8503401360544217,0,-13,0,3.2682093784761936,-3.238095238095238,-24.428571428571427,15.380952380952381
Toscana,1.5782664941785252,-5,-43,16,3.2682093784761936,-3.238095238095238,-24.428571428571427,15.380952380952381
Umbria,1.1363636363636365,-1,-3,1,3.2682093784761936,-3.238095238095238,-24.428571428571427,15.380952380952381
Valle d'Aosta,1.7605633802816902,0,-3,2,3.2682093784761936,-3.238095238095238,-24.428571428571427,15.380952380952381
Veneto,1.2396694214876034,-6,-25,29,3.2682093784761936,-3.238095238095238,-24.428571428571427,15.380952380952381
