regione,rapportoGiornalieroSuTamponiMolecolari,ingressiGiornalieriInIntensiva,ingressiGiornalieriFuoriIntensiva,decedutiGiornalieri,rapportoItalianoSuTamponiMolecolari,ingressiInIntensivaMediaRegionale,ingressiInOspedaleNonIntensivaMediaRegionale,decedutiMediaRegionale
Abruzzo,15.790929203539823,0,31,9,15.692365065216205,4.714285714285714,54.285714285714285,21.19047619047619
Basilicata,8.359133126934985,1,1,2,15.692365065216205,4.714285714285714,54.285714285714285,21.19047619047619
Calabria,10.492379835873388,0,5,4,15.692365065216205,4.714285714285714,54.285714285714285,21.19047619047619
Campania,19.869174161896975,-1,39,17,15.692365065216205,4.714285714285714,54.285714285714285,21.19047619047619
Emilia-Romagna,10.722014558331693,16,34,13,15.692365065216205,4.714285714285714,54.285714285714285,21.19047619047619
Friuli Venezia Giulia,10.02754820936639,4,53,9,15.692365065216205,4.714285714285714,54.285714285714285,21.19047619047619
Lazio,9.031469801538817,5,191,35,15.692365065216205,4.714285714285714,54.285714285714285,21.19047619047619
Liguria,18.3391528768787,-1,40,29,15.692365065216205,4.714285714285714,54.285714285714285,21.19047619047619
Lombardia,21.23531677257847,15,300,139,15.692365065216205,4.714285714285714,54.285714285714285,21.19047619047619
Marche,20.842042400716632,2,23,2,15.692365065216205,4.714285714285714,54.285714285714285,21.19047619047619
Molise,14.02359108781127,0,-1,1,15.692365065216205,4.714285714285714,54.285714285714285,21.19047619047619
P.A. Bolzano,18.880079286422202,0,26,4,15.692365065216205,4.714285714285714,54.285714285714285,21.19047619047619
P.A. Trento,9.84312519224854,4,13,3,15.692365065216205,4.714285714285714,54.285714285714285,21.19047619047619
Piemonte,18.81340848412934,16,173,39,15.692365065216205,4.714285714285714,54.285714285714285,21.19047619047619
Puglia,11.268725971099032,6,0,26,15.692365065216205,4.714285714285714,54.285714285714285,21.19047619047619
Sardegna,10.232903865213082,1,-4,6,15.692365065216205,4.714285714285714,54.285714285714285,21.19047619047619
Sicilia,13.920185321680531,9,42,25,15.692365065216205,4.714285714285714,54.285714285714285,21.19047619047619
Toscana,13.881763771833395,5,68,25,15.692365065216205,4.714285714285714,54.285714285714285,21.19047619047619
Umbria,16.107382550335572,1,12,11,15.692365065216205,4.714285714285714,54.285714285714285,21.19047619047619
Valle d'Aosta,21.714285714285715,1,8,8,15.692365065216205,4.714285714285714,54.285714285714285,21.19047619047619
Veneto,19.799818016378527,15,86,38,15.692365065216205,4.714285714285714,54.285714285714285,21.19047619047619
