Data,TassoDiPositivitaAiTamponiTotaliItalia,TassoDiPositivitaAiTamponiTotaliVeneto
24-01-2021,4.951882747086132,2.896150178186016
31-01-2021,4.976017074019546,2.595466701740541
07-02-2021,4.935495283018868,2.1890561313339547
14-02-2021,4.714719620346041,2.2331120599604306
21-02-2021,4.6217171562212025,2.238324637139642
28-02-2021,5.594113256455803,3.0522733879379627
07-03-2021,6.4354616694072915,3.53355340796734
14-03-2021,6.825643434063055,4.459960856324575
21-03-2021,6.757543992566587,4.432077801231756
28-03-2021,7.065885392426846,4.648145233424572
04-04-2021,6.468241442407874,4.090348910034952
11-04-2021,5.474915935374966,3.088266415283095
18-04-2021,4.918517458023179,2.885615371460002
25-04-2021,4.555238723885384,2.963293249915235
02-05-2021,4.127495400513574,2.417424387224786
09-05-2021,3.352238272866787,1.9885855738155813
16-05-2021,2.6534591832383256,1.3312083997375082
23-05-2021,1.9966554315417324,0.9120303383287801
30-05-2021,1.560133927869677,0.7301849656927243
06-06-2021,1.3222199771539709,0.47777532209207085
13-06-2021,0.9744302120348866,0.3791369531738031
20-06-2021,0.6178430385923182,0.23217442545668826
27-06-2021,0.41901383247509405,0.21526848370261792
04-07-2021,0.4340809815788538,0.22434653315525965
11-07-2021,0.6810859380014119,0.47015244336800116
