Data,PositiviSuTotaleTamponiInItalia,PositiviSuTotaleTamponiInVeneto
15-01-2021,5.903343985141094,1.86542650669064
16-01-2021,6.239384248136983,5.31961833324141
17-01-2021,5.94330058082794,6.029243371796001
18-01-2021,5.561717735734903,5.041677191209901
19-01-2021,4.1315385523674575,2.2011132066792403
20-01-2021,4.8509089869246,3.0667509139323914
21-01-2021,5.261485908202432,2.7898308856252783
22-01-2021,5.149814148862228,2.748336774489562
23-01-2021,4.655800454718491,2.081775370374113
24-01-2021,5.378542257331958,4.269191265127495
25-01-2021,6.745397105514019,3.4267712485534267
26-01-2021,4.133256856570954,1.8258805100717133
27-01-2021,5.175477414303707,5.565278263913196
28-01-2021,5.215201448586431,1.751270589676076
29-01-2021,5.050790697674419,2.413032827045566
30-01-2021,4.266635347807121,1.3868702610888333
31-01-2021,5.273616917568099,2.371222201102452
01-02-2021,5.564566525533812,4.411001556824079
02-02-2021,3.9520678806524594,1.5799918583350294
03-02-2021,4.722044202257731,1.6108791968653162
04-02-2021,5.056229686609265,2.468727613379622
05-02-2021,5.25605622035659,2.112720602188627
06-02-2021,4.759797030526864,2.2329105760963026
07-02-2021,5.629409688136216,2.84648493543759
08-02-2021,5.524364039647883,3.013156997750358
09-02-2021,3.8758418014825184,2.0382054487831827
10-02-2021,4.165996771641897,2.2169861839991434
11-02-2021,5.177535525906479,2.263644211401349
12-02-2021,4.835563714497304,1.910007326747682
13-02-2021,4.657630432238568,2.065162005814825
14-02-2021,5.382169012166775,3.010639541681281
15-02-2021,4.100335791340823,2.931516847098893
16-02-2021,3.7902481214806274,1.8212960319725948
17-02-2021,4.101069593187755,1.2605687932359724
18-02-2021,4.770885189524991,3.1334576291573946
19-02-2021,5.209539323120002,2.4029845287297467
20-02-2021,4.8781683100386175,2.817986181900555
21-02-2021,5.359661495063469,1.8999735379730087
22-02-2021,5.642401799943752,4.935039751793679
23-02-2021,4.38176731940102,2.8240925408855206
24-02-2021,4.8270815025554965,2.2400760875006256
25-02-2021,5.622215185578902,2.8507093981592813
26-02-2021,6.299553785448243,3.0506977106774418
27-02-2021,5.855494711295879,3.111154153451323
28-02-2021,6.791194596613546,4.439138485527726
01-03-2021,7.68550046005169,5.69620253164557
02-03-2021,5.084483441126485,2.875070237872261
03-03-2021,5.819150477591645,2.885858837942691
04-03-2021,6.732227243953068,3.624089103360873
05-03-2021,6.35095108372549,3.52046783625731
06-03-2021,6.658986434719906,3.6779466590192142
07-03-2021,7.652873190435475,4.417050028752157
08-03-2021,7.52745229689632,7.378167641325536
09-03-2021,5.708265408761402,3.715427805633217
10-03-2021,6.206791491247508,3.6056637331670247
11-03-2021,6.897320648976269,3.900544261990045
12-03-2021,7.256868919693969,4.186711740995969
13-03-2021,6.988180531125316,5.177706133323037
14-03-2021,7.780162501916296,5.900725041829336
15-03-2021,8.528335614333994,7.16781726753601
16-03-2021,5.52175972927242,3.128342685997334
17-03-2021,6.247629265966555,5.235989962958538
18-03-2021,7.049022296225727,4.170811425323291
19-03-2021,7.05412502535483,4.331811813621368
20-03-2021,6.723087339201084,4.502500165209155
21-03-2021,7.275358552940243,5.291428952724118
22-03-2021,8.183408591219651,6.025428413488115
23-03-2021,5.598334074208879,4.532564841498559
24-03-2021,5.846324707848705,4.304838199641615
25-03-2021,6.809701492537314,4.078189029868735
26-03-2021,6.757244029274724,4.912650955563372
27-03-2021,6.658526476156337,4.155543480828746
28-03-2021,7.191340029262604,6.159785899179573
29-03-2021,8.242659399988513,5.861985667122957
30-03-2021,5.312044903415858,2.6106644487570465
31-03-2021,6.4136271060914645,5.279588023515472
01-04-2021,6.638408960125756,3.832253825213555
02-04-2021,6.62290052362345,3.924859110832812
03-04-2021,5.918755950491907,3.83304313706256
04-04-2021,7.183192326238478,4.820600439345863
05-04-2021,10.38961038961039,6.580148027983372
06-04-2021,6.875763531098953,5.127427184466019
07-04-2021,4.032488181703188,2.5269526452258564
08-04-2021,4.755054367934791,2.765274744863853
09-04-2021,5.426314386982347,2.7369937392653334
10-04-2021,5.246041652979437,2.8105917175541983
11-04-2021,6.221256420387199,3.386206360314128
12-04-2021,5.134943740656228,4.997020515876394
13-04-2021,4.408997016295617,2.4671006677656395
14-04-2021,4.829642197833711,2.6708504224934524
15-04-2021,5.310465440051559,3.068438914027149
16-04-2021,4.865061152747601,2.53781512605042
17-04-2021,4.633230238685211,2.613870196318336
18-04-2021,5.516348276521407,3.5702556884822894
19-04-2021,6.041110081238755,4.6078249582792505
20-04-2021,4.106174225033583,5.230302007761093
21-04-2021,3.955044367118623,2.013879940356755
22-04-2021,4.399622811153386,2.8160782125873385
23-04-2021,4.675641431738993,2.7036205004963167
24-04-2021,4.307313423530145,2.766439909297052
25-04-2021,5.494358657435632,3.715579026782346
26-04-2021,5.790740575645149,3.3601306368546666
27-04-2021,3.4366803860815107,2.4291034087653967
28-04-2021,3.9796513010798726,2.586067995058811
29-04-2021,4.338407937589942,2.5942676396326405
30-04-2021,3.9690528410046895,2.1322077008415183
01-05-2021,3.428062252447105,2.083998358338273
02-05-2021,5.831505941149472,2.22117202268431
03-05-2021,4.882252993950537,3.816713851315928
04-05-2021,2.8893269858576383,2.096905537459284
05-05-2021,3.2353309757342537,2.022423107201998
06-05-2021,3.636951700344997,2.218973528951078
07-05-2021,3.2116903825788468,1.5615690168818273
08-05-2021,3.0067723291848383,1.3874893419114798
09-05-2021,3.668929143474067,2.448004776594686
10-05-2021,3.907692307692308,2.503547536995743
11-05-2021,2.425042244473305,1.1973468860366956
