regione,rapportoGiornalieroSuTamponiTotali,rapportoGiornalieroSuTamponiMolecolari,ingressiGiornalieriInIntensiva,ingressiGiornalieriFuoriIntensiva,decedutiGiornalieri,rapportoItalianoSuTamponiTotali,rapportoItalianoSuTamponiMolecolari,ingressiInIntensivaMediaRegionale,ingressiInOspedaleNonIntensivaMediaRegionale,decedutiMediaRegionale
Abruzzo,1.873711823121604,2.7839643652561246,3,-6,1,2.83996386487834,4.570150737121087,-1.2380952380952381,-17.095238095238095,4.428571428571429
Basilicata,7.6158940397351,7.763713080168777,0,-3,2,2.83996386487834,4.570150737121087,-1.2380952380952381,-17.095238095238095,4.428571428571429
Calabria,8.0,9.214315096668038,-4,-19,7,2.83996386487834,4.570150737121087,-1.2380952380952381,-17.095238095238095,4.428571428571429
Campania,4.434472109631345,5.871079026384718,-3,-22,11,2.83996386487834,4.570150737121087,-1.2380952380952381,-17.095238095238095,4.428571428571429
Emilia-Romagna,3.191414248393702,5.26439759745613,-3,-15,7,2.83996386487834,4.570150737121087,-1.2380952380952381,-17.095238095238095,4.428571428571429
Friuli Venezia Giulia,0.9606986899563319,1.288888888888889,0,-2,0,2.83996386487834,4.570150737121087,-1.2380952380952381,-17.095238095238095,4.428571428571429
Lazio,2.4359353231730485,5.121558813013944,3,-43,14,2.83996386487834,4.570150737121087,-1.2380952380952381,-17.095238095238095,4.428571428571429
Liguria,1.8248175182481752,2.896451846488052,-1,-10,4,2.83996386487834,4.570150737121087,-1.2380952380952381,-17.095238095238095,4.428571428571429
Lombardia,2.4579280531110084,2.9622898682417085,-8,-106,18,2.83996386487834,4.570150737121087,-1.2380952380952381,-17.095238095238095,4.428571428571429
Marche,6.141102542130819,6.797344293392349,0,-13,1,2.83996386487834,4.570150737121087,-1.2380952380952381,-17.095238095238095,4.428571428571429
Molise,2.4475524475524475,2.4475524475524475,0,0,0,2.83996386487834,4.570150737121087,-1.2380952380952381,-17.095238095238095,4.428571428571429
P.A. Bolzano,1.8318318318318318,8.265582655826558,-1,-3,0,2.83996386487834,4.570150737121087,-1.2380952380952381,-17.095238095238095,4.428571428571429
P.A. Trento,4.389212057112639,5.438066465256798,-1,1,2,2.83996386487834,4.570150737121087,-1.2380952380952381,-17.095238095238095,4.428571428571429
Piemonte,3.442090878032115,6.102850061957868,-1,-34,5,2.83996386487834,4.570150737121087,-1.2380952380952381,-17.095238095238095,4.428571428571429
Puglia,5.859318346627991,6.809669731018046,-7,-2,8,2.83996386487834,4.570150737121087,-1.2380952380952381,-17.095238095238095,4.428571428571429
Sardegna,2.232746955345061,2.232746955345061,1,-6,0,2.83996386487834,4.570150737121087,-1.2380952380952381,-17.095238095238095,4.428571428571429
Sicilia,2.1105841888582,7.1040168391510266,4,-21,3,2.83996386487834,4.570150737121087,-1.2380952380952381,-17.095238095238095,4.428571428571429
Toscana,2.5157858101725252,3.861157551150386,-5,-42,8,2.83996386487834,4.570150737121087,-1.2380952380952381,-17.095238095238095,4.428571428571429
Umbria,1.1471903558234493,2.9964448958862366,0,2,0,2.83996386487834,4.570150737121087,-1.2380952380952381,-17.095238095238095,4.428571428571429
Valle d'Aosta,3.361344537815126,6.390977443609023,-1,-2,0,2.83996386487834,4.570150737121087,-1.2380952380952381,-17.095238095238095,4.428571428571429
Veneto,1.3825804841527327,2.3231349171561324,-2,-13,2,2.83996386487834,4.570150737121087,-1.2380952380952381,-17.095238095238095,4.428571428571429
