Data,Positivi su totale tamponi molecolari in Italia,Positivi su totale tamponi molecolari in Veneto,ingressiTerapiaIntensivaInItalia,ingressiTerapiaIntensivaInVeneto,ingressi non terapia intensiva in Italia,ingressi non terapia intensiva in Veneto,Morti media regionale,Morti Veneto,Letalita italiana,Letalita Veneta
03-09-2020,1.5055501670438625,0.8558457989134479,0.5238095238095238,3,3.7573696145124713,1,0.47619047619047616,0,13.010420941548924,9.110024030209406
04-09-2020,1.532475571472786,1.398995592907656,0.047619047619047616,-2,4.879818594104309,8,0.5238095238095238,3,12.932377914682279,9.017262586418967
05-09-2020,1.5735012725482547,1.179422835633626,0.0,-1,0.6167800453514739,0,0.7142857142857143,4,12.858574856063429,8.96276036187671
06-09-2020,1.687571562402415,1.8911780243000529,0.5714285714285714,3,3.5714285714285716,0,0.38095238095238093,0,12.80138599739225,8.895756765786835
07-09-2020,2.1083477632104732,1.3558655924543133,0.42857142857142855,1,2.1156462585034013,6,0.5714285714285714,0,12.752883953168045,8.870195310873276
08-09-2020,1.4826358451565425,1.10479797979798,0.047619047619047616,-1,1.9795918367346939,8,0.47619047619047616,2,12.694134990523036,8.839870636039473
09-09-2020,1.4939056151682466,0.8425925925925926,0.3333333333333333,0,1.1882086167800454,-10,0.6666666666666666,3,12.634640585546713,8.819034243463175
10-09-2020,1.6955810842375725,1.2873281373150014,0.6666666666666666,0,3.412698412698413,0,0.47619047619047616,0,12.566918567695458,8.765807193299393
11-09-2020,1.6343042071197411,1.1338314326910472,0.5238095238095238,-1,1.1111111111111112,8,0.47619047619047616,3,12.499122178682285,8.716213461616862
12-09-2020,1.619096930080038,0.9589993050729674,0.3333333333333333,1,5.165532879818595,8,0.2857142857142857,3,12.435687415516055,8.67961243766976
13-09-2020,2.0209860970572335,1.7552533992583437,0.23809523809523808,2,4.555555555555555,-4,0.3333333333333333,1,12.375196783352388,8.633963480994801
14-09-2020,2.224723564854665,1.2907768129547055,0.47619047619047616,0,4.27437641723356,1,0.6666666666666666,2,12.336846042228695,8.622908622908623
15-09-2020,1.5263857322056211,1.4159074119674957,0.19047619047619047,1,4.929705215419501,6,0.42857142857142855,2,12.28766509189972,8.591216621962449
16-09-2020,1.4432395360163806,0.9687442880643392,0.2857142857142857,-1,3.2766439909297054,5,0.5714285714285714,5,12.230563885781734,8.556766648102474
17-09-2020,1.5573875192831104,0.9413593574574661,0.23809523809523808,-2,3.224489795918367,2,0.6190476190476191,0,12.168927565907346,8.51982413752129
18-09-2020,1.9100752211059806,1.4685022945348352,-0.19047619047619047,-4,1.6553287981859408,6,0.47619047619047616,2,12.093635143016018,8.468709436337175
19-09-2020,1.5868556426377842,1.1148405658115559,0.3333333333333333,2,0.009070294784580499,10,1.1428571428571428,5,12.034973311438485,8.426724979499395
20-09-2020,1.9022390564318934,1.579620160701242,0.3333333333333333,0,-0.39682539682539686,-1,0.7142857142857143,4,11.97594547820604,8.385695446435498
21-09-2020,2.4166696502094447,1.5617892342683852,0.47619047619047616,2,5.698412698412699,5,0.8095238095238095,0,11.927640848597356,8.352327602858798
22-09-2020,1.5944469262224665,1.1858495266567015,0.3333333333333333,2,6.453514739229025,12,0.6666666666666666,3,11.877153976277597,8.32564220889094
23-09-2020,1.5815460577071438,1.2534469791927803,0.23809523809523808,2,2.7936507936507935,-2,0.9523809523809523,2,11.81938076995541,8.28553949682649
24-09-2020,1.653412825521436,1.6042434827608514,0.09523809523809523,1,3.5600907029478455,5,1.0952380952380953,2,11.757573367770428,8.215286720702977
25-09-2020,1.7824348134130084,1.381449111925571,-0.09523809523809523,2,0.18594104308390022,-4,0.9523809523809523,4,11.690695054451647,8.169787202045267
26-09-2020,1.7904528341651738,1.3158696314346634,0.14285714285714285,2,0.5759637188208616,7,0.8095238095238095,1,11.625295354815258,8.107704930260311
27-09-2020,2.013361607041065,1.6420530827222968,0.3333333333333333,0,5.08843537414966,1,0.8095238095238095,2,11.564527059734727,8.067326585845104
28-09-2020,2.9231642176524684,3.7631091918568784,0.47619047619047616,0,6.698412698412698,7,0.7619047619047619,0,11.514176333808662,8.012962144645751
29-09-2020,1.8273548816322005,1.2531328320802004,0.3333333333333333,0,3.691609977324263,12,1.1428571428571428,1,11.461258550019009,7.97552754982415
30-09-2020,1.7534386722746391,1.245480112494978,0.42857142857142855,0,0.3650793650793651,6,0.9047619047619048,1,11.399951089528395,7.934137189902007
01-10-2020,2.155012009878548,2.435153770384152,0.5238095238095238,3,2.8843537414965987,7,1.1428571428571428,5,11.315999231275736,7.825494694579868
02-10-2020,2.0772894655904772,1.0248430541396147,0.14285714285714285,-2,2.260770975056689,-13,1.0952380952380953,6,11.234792502844568,7.793641186313953
03-10-2020,2.391282413479972,1.3875622140666632,0.14285714285714285,-1,3.1360544217687076,7,1.2857142857142858,4,11.144194750752128,7.731904241441314
04-10-2020,2.7805940850357014,2.0363579620816106,0.2857142857142857,-1,4.183673469387755,4,0.8571428571428571,1,11.06141782626203,7.664896590273896
05-10-2020,3.7466177520293487,3.2922988834812483,0.9523809523809523,0,10.462585034013605,4,0.7619047619047619,0,10.990091151636516,7.603798433492757
06-10-2020,2.68392452527521,1.8725849598731794,-0.19047619047619047,-5,6.335600907029478,26,1.3333333333333333,4,10.90948728740428,7.568088696071342
07-10-2020,2.9350272116443494,2.4729622790820365,0.8571428571428571,1,8.342403628117914,6,1.4761904761904763,2,10.798646463436546,7.478414576109865
08-10-2020,3.480148011678559,2.895388607147069,1.0,3,7.7687074829931975,-1,1.0476190476190477,6,10.662888078534744,7.375706309137718
09-10-2020,4.149191710885063,4.153577661431065,1.380952380952381,2,9.0,-5,1.3333333333333333,3,10.50440701631905,7.241673223183844
10-10-2020,4.301042950317093,3.7409975993598295,0.14285714285714285,-1,11.98185941043084,23,1.380952380952381,7,10.340663931283514,7.133429905037824
11-10-2020,5.213170517303981,3.931777378815081,1.4285714285714286,4,10.136054421768709,7,1.2380952380952381,2,10.18904070995915,7.040599308002412
12-10-2020,5.406006413707544,5.16698172652804,1.5238095238095237,5,15.83673469387755,6,1.8571428571428572,1,10.068999274130974,6.971191605667431
13-10-2020,5.243282627239124,11.969397828232971,2.9523809523809526,4,15.022675736961451,28,1.9523809523809523,7,9.91772170948403,6.888228741180839
14-10-2020,4.817472206891114,3.114482104764162,1.1904761904761905,2,19.811791383219955,-1,2.0476190476190474,0,9.734199930793805,6.750978072968793
15-10-2020,5.403481206883853,3.153910849453322,2.238095238095238,5,17.705215419501133,8,3.9523809523809526,11,9.531396585971772,6.6630923658892565
16-10-2020,6.65660307094835,9.554831704668839,2.4761904761904763,0,20.560090702947846,20,2.619047619047619,7,9.301832686007288,6.54666394375237
17-10-2020,6.5877940387247715,5.467646227747951,3.1904761904761907,3,23.977324263038547,29,2.238095238095238,3,9.06105292445893,6.410658754386465
18-10-2020,7.987525675408247,7.778317938745746,2.142857142857143,1,26.467120181405896,50,3.2857142857142856,9,8.82167627057679,6.292711500376559
19-10-2020,9.445489672472739,11.342069588793493,2.238095238095238,0,28.08843537414966,18,3.4761904761904763,-1,8.64445273361695,6.203064396335928
20-10-2020,7.5129372586139,6.030027073590943,3.4761904761904763,7,40.41723356009071,63,4.238095238095238,13,8.448632635821467,6.1558505007735524
21-10-2020,8.546061805586794,7.245121516278596,2.6666666666666665,5,31.215419501133788,-20,6.0476190476190474,14,8.191296302885814,5.963674376061675
22-10-2020,9.436475890886896,9.17590027700831,3.142857142857143,3,33.34920634920635,61,6.476190476190476,19,7.937714450127328,5.8120737559989895
